LocalTimestamp,TH
1659431083.692822,30.33
1659431083.796372,30.33
1659431083.899923,30.443
1659431084.109074,30.443
1659431084.210574,30.368
1659431084.314125,30.368
1659431084.4187,30.421
1659431084.624776,30.428
1659431084.728327,30.342
1659431084.831877,30.342
1659431085.041029,30.44
1659431085.142529,30.44
1659431085.246079,30.532
1659431085.353731,30.532
1659431085.557756,30.529
1659431085.661307,30.537
1659431085.763832,30.594
1659431085.971958,30.594
1659431086.074484,30.537
1659431086.178034,30.537
1659431086.285686,30.604
1659431086.489711,30.604
1659431086.592236,30.525
1659431086.695787,30.525
1659431086.902888,30.616
1659431087.006438,30.623
1659431087.109989,30.58
1659431087.214565,30.58
1659431087.42064,30.551
1659431087.524191,30.551
1659431087.627742,30.501
1659431087.845095,30.501
1659431087.948646,30.534
1659431088.053221,30.534
1659431088.155747,30.566
1659431088.362848,30.566
1659431088.466398,30.542
1659431088.570974,30.549
1659431088.77705,30.611
1659431088.884701,30.611
1659431088.987226,30.606
1659431089.090777,30.606
1659431089.297878,30.671
1659431089.401429,30.671
1659431089.504979,30.566
1659431089.612631,30.573
1659431089.816656,30.654
1659431089.919181,30.654
1659431090.022732,30.645
1659431090.229833,30.645
1659431090.333383,30.63
1659431090.436934,30.63
1659431090.54151,30.606
1659431090.747586,30.606
1659431090.851136,30.611
1659431090.954686,30.611
1659431091.161788,30.736
1659431091.265338,30.743
1659431091.368889,30.717
1659431091.47449,30.717
1659431091.67954,30.64
1659431091.783091,30.64
1659431091.945081,30.714
1659431092.050682,30.714
1659431092.154232,30.698
1659431092.361333,30.698
1659431092.464884,30.666
1659431092.568434,30.666
1659431092.67301,30.633
1659431092.879086,30.633
1659431092.982636,30.597
1659431093.091313,30.597
1659431093.297389,30.64
1659431093.400939,30.647
1659431093.505515,30.698
1659431093.608041,30.698
1659431093.815142,30.734
1659431093.918692,30.734
1659431094.023268,30.63
1659431094.229344,30.63
1659431094.332894,30.671
1659431094.436445,30.678
1659431094.54102,30.686
1659431094.747096,30.686
1659431094.850647,30.71
1659431094.955223,30.71
1659431095.161298,30.674
1659431095.264849,30.674
1659431095.368399,30.712
1659431095.47195,30.712
1659431095.679051,30.633
1659431095.783627,30.633
1659431095.886152,30.683
1659431096.093253,30.69
1659431096.196804,30.719
1659431096.300354,30.719
1659431096.40493,30.724
1659431096.611006,30.724
1659431096.715581,30.753
1659431096.819132,30.753
1659431096.927809,30.726
1659431097.092875,30.726
1659431097.25794,30.743
1659431097.369693,30.743
1659431097.48042,30.669
1659431097.686496,30.669
1659431097.790046,30.671
1659431097.893597,30.678
1659431097.998173,30.616
1659431098.204248,30.616
1659431098.307799,30.736
1659431098.41135,30.736
1659431098.618451,30.774
1659431098.722001,30.774
1659431098.825552,30.758
1659431098.929102,30.758
1659431099.136203,30.746
1659431099.239754,30.753
1659431099.344329,30.69
1659431099.550405,30.69
1659431099.653956,30.734
1659431099.757506,30.734
1659431099.862082,30.638
1659431100.068158,30.638
1659431100.171708,30.758
1659431100.276284,30.758
1659431100.48236,30.681
1659431100.585911,30.681
1659431100.689461,30.707
1659431100.794037,30.707
1659431101.000113,30.796
1659431101.103663,30.803
1659431101.208239,30.767
1659431101.414315,30.767
1659431101.517865,30.767
1659431101.621416,30.767
1659431101.725991,30.659
1659431101.932067,30.659
1659431102.035618,30.794
1659431102.139168,30.794
1659431102.346269,30.808
1659431102.492881,30.808
1659431102.595406,30.782
1659431102.698956,30.789
1659431102.803532,30.762
1659431103.010633,30.762
1659431103.113158,30.719
1659431103.216709,30.719
1659431103.327436,30.714
1659431103.533512,30.714
1659431103.637063,30.82
1659431103.740613,30.82
1659431103.947714,30.755
1659431104.051265,30.755
1659431104.154815,30.796
1659431104.260416,30.796
1659431104.465467,30.765
1659431104.569017,30.772
1659431104.673593,30.76
1659431104.879669,30.76
1659431104.983219,30.882
1659431105.087795,30.882
1659431105.191346,30.712
1659431105.397421,30.712
1659431105.501997,30.683
1659431105.605548,30.683
1659431105.811624,30.789
1659431105.915174,30.789
1659431106.01975,30.784
1659431106.1233,30.784
1659431106.329376,30.729
1659431106.432927,30.729
1659431106.536477,30.719
1659431106.743578,30.727
1659431106.847129,30.736
1659431106.950679,30.736
1659431107.05423,30.789
1659431107.261331,30.789
1659431107.364882,30.763
1659431107.469457,30.763
1659431107.595051,30.798
1659431107.720644,30.798
1659431107.922619,30.703
1659431108.027195,30.703
1659431108.130745,30.751
1659431108.337846,30.751
1659431108.441397,30.782
