LocalTimestamp,TH
1659520874.83439,30.99
1659520874.940892,30.903
1659520875.044321,31.204
1659520875.146726,31.175
1659520875.353584,31.525
1659520875.457013,31.489
1659520875.561466,31.439
1659520875.767301,31.424
1659520875.87073,31.495
1659520875.974159,31.481
1659520876.078612,31.507
1659520876.284447,31.507
1659520876.387876,31.5
1659520876.492329,31.5
1659520876.698163,31.455
1659520876.802617,31.455
1659520876.905022,31.398
1659520877.008451,31.405
1659520877.215309,31.474
1659520877.318738,31.488
1659520877.423192,31.555
1659520877.629026,31.548
1659520877.732455,31.588
1659520877.835884,31.588
1659520877.940337,31.598
1659520878.146172,31.598
1659520878.249601,31.567
1659520878.35303,31.56
1659520878.559889,31.514
1659520878.663318,31.507
1659520878.766747,31.588
1659520878.8712,31.588
1659520879.077034,31.505
1659520879.180464,31.505
1659520879.283893,31.593
1659520879.490751,31.585
1659520879.59418,31.571
1659520879.697609,31.571
1659520879.801039,31.604
1659520880.007897,31.604
1659520880.111326,31.538
1659520880.215779,31.538
1659520880.338665,31.54
1659520880.545524,31.533
1659520880.648953,31.571
1659520880.753406,31.571
1659520880.865028,31.495
1659520881.064718,31.495
1659520881.167123,31.592
1659520881.2726,31.592
1659520881.478435,31.566
1659520881.582888,31.559
1659520881.686317,31.602
1659520881.892151,31.602
1659520881.99558,31.647
1659520882.100034,31.64
1659520882.202439,31.533
1659520882.409297,31.533
1659520882.51375,31.59
1659520882.693983,31.59
1659520882.797412,31.59
1659520882.899817,31.583
1659520883.005295,31.602
1659520883.211129,31.602
1659520883.314558,31.494
1659520883.417988,31.487
1659520883.522441,31.597
1659520883.728275,31.597
1659520883.831704,31.471
1659520883.935133,31.463
1659520884.14404,31.454
1659520884.248493,31.454
1659520884.350898,31.497
1659520884.456375,31.497
1659520884.66221,31.499
1659520884.764615,31.499
1659520884.868044,31.551
1659520885.077975,31.544
1659520885.18038,31.489
1659520885.286881,31.489
1659520885.391334,31.575
1659520885.597168,31.575
1659520885.700598,31.477
1659520885.804027,31.477
1659520886.011909,31.504
1659520886.114314,31.496
1659520886.217744,31.57
1659520886.322197,31.57
1659520886.528031,31.57
1659520886.63146,31.57
1659520886.73489,31.487
1659520886.942772,31.487
1659520887.045177,31.518
1659520887.148606,31.518
1659520887.254083,31.594
1659520887.459918,31.587
1659520887.562323,31.484
1659520887.665752,31.492
1659520887.799391,31.482
1659520887.933029,31.482
1659520888.133743,31.453
1659520888.237173,31.446
1659520888.34265,31.449
1659520888.548484,31.449
1659520888.651913,31.475
1659520888.756366,31.475
1659520888.858772,31.52
1659520889.06563,31.52
1659520889.170083,31.522
1659520889.272488,31.522
1659520889.381038,31.558
1659520889.582776,31.551
1659520889.686205,31.484
1659520889.789634,31.484
1659520889.997517,31.567
1659520890.100946,31.567
1659520890.203351,31.584
1659520890.313948,31.584
1659520890.513638,31.586
1659520890.618092,31.586
1659520890.720497,31.51
1659520890.927355,31.51
1659520891.030784,31.534
1659520891.135237,31.534
1659520891.341072,31.518
1659520891.444501,31.518
1659520891.54793,31.482
1659520891.651359,31.475
1659520891.858218,31.494
1659520891.961647,31.494
1659520892.067124,31.453
1659520892.271935,31.453
1659520892.376388,31.451
1659520892.478793,31.451
1659520892.582222,31.548
1659520892.78908,31.548
1659520892.892509,31.422
1659520892.996963,31.422
1659520893.117801,31.551
1659520893.323635,31.551
1659520893.427064,31.403
1659520893.530493,31.396
1659520893.650307,31.444
1659520893.855118,31.444
1659520893.958547,31.446
1659520894.064024,31.446
1659520894.268834,31.532
1659520894.372263,31.532
1659520894.476717,31.479
1659520894.580146,31.479
1659520894.78598,31.439
1659520894.889409,31.439
1659520894.993863,31.524
1659520895.208913,31.524
1659520895.312342,31.348
1659520895.414748,31.348
1659520895.518177,31.472
1659520895.725035,31.465
1659520895.828464,31.474
1659520895.931894,31.474
1659520896.038395,31.486
1659520896.243205,31.486
1659520896.34561,31.396
1659520896.449039,31.396
1659520896.655898,31.539
1659520896.759327,31.539
1659520896.862756,31.431
1659520896.970281,31.431
1659520897.173043,31.451
1659520897.276473,31.451
1659520897.379902,31.453
1659520897.58676,31.446
1659520897.690189,31.469
1659520897.793619,31.469
1659520897.90012,31.512
1659520898.105954,31.512
1659520898.208359,31.462
1659520898.360943,31.462
1659520898.465396,31.443
1659520898.567801,31.443
1659520898.77466,31.538
1659520898.878089,31.538
1659520898.982542,31.379
1659520899.1894,31.379
1659520899.291806,31.555
1659520899.395235,31.555
1659520899.499688,31.396
1659520899.715763,31.389
1659520899.818168,31.415
1659520899.921597,31.415
1659520900.029122,31.381
1659520900.232909,31.381
1659520900.335314,31.4
1659520900.438743,31.4
1659520900.645601,31.441
1659520900.750055,31.441
1659520900.853484,31.41
1659520900.961009,31.41
1659520901.166843,31.453
1659520901.269248,31.453
1659520901.372678,31.415
1659520901.58056,31.415
1659520901.682965,31.346
1659520901.786394,31.346
1659520901.89392,31.434
1659520902.09873,31.426
1659520902.200111,31.422
1659520902.30354,31.422
1659520902.510399,31.436
1659520902.613828,31.436
1659520902.718281,31.422
1659520902.827854,31.422
1659520903.027544,31.307
1659520903.130974,31.307
1659520903.234403,31.476
1659520903.442285,31.476
1659520903.588724,31.405
1659520903.693178,31.405
1659520903.795583,31.388
1659520903.899012,31.388
1659520904.10587,31.424
1659520904.210324,31.424
1659520904.312729,31.398
1659520904.422302,31.398
1659520904.623016,31.393
1659520904.728493,31.393
1659520904.829875,31.488
1659520905.036733,31.488
1659520905.140162,31.412
1659520905.243591,31.412
1659520905.45045,31.407
1659520905.553879,31.4
1659520905.659356,31.495
1659520905.760737,31.495
1659520905.967596,31.424
1659520906.071025,31.424
1659520906.174454,31.4
1659520906.381312,31.4
1659520906.484741,31.457
1659520906.588171,31.457
1659520906.6916,31.426
1659520906.898458,31.426
1659520907.001887,31.467
1659520907.105316,31.467
1659520907.312175,31.476
1659520907.415604,31.476
1659520907.519033,31.379
1659520907.622462,31.379
1659520907.829321,31.4
1659520907.933774,31.393
1659520908.037203,31.357
1659520908.243037,31.357
1659520908.346467,31.429
1659520908.45092,31.429
1659520908.553325,31.41
1659520908.760183,31.41
1659520908.923007,31.367
1659520909.025413,31.367
1659520909.139082,31.424
1659520909.240463,31.424
1659520909.350037,31.364
1659520909.552799,31.364
1659520909.655204,31.341
1659520909.758633,31.341
1659520909.965492,31.479
1659520910.068921,31.479
1659520910.17235,31.419
1659520910.277827,31.419
1659520910.482637,31.441
1659520910.586066,31.441
1659520910.689496,31.345
1659520910.897378,31.338
1659520910.999783,31.421
1659520911.103212,31.421
1659520911.20869,31.398
1659520911.414524,31.398
1659520911.516929,31.374
1659520911.620358,31.374
1659520911.828241,31.398
1659520911.930646,31.398
1659520912.034075,31.338
1659520912.1416,31.338
1659520912.345387,31.393
1659520912.447792,31.393
1659520912.551221,31.374
1659520912.758079,31.374
1659520912.862532,31.34
1659520912.964937,31.34
1659520913.072463,31.428
1659520913.276249,31.428
1659520913.378654,31.4
1659520913.482083,31.4
1659520913.689966,31.383
1659520913.793395,31.376
1659520913.8958,31.383
1659520914.003325,31.39
1659520914.207112,31.428
1659520914.311565,31.421
1659520914.41909,31.402
1659520914.624925,31.402
1659520914.729378,31.381
1659520914.831783,31.381
1659520914.947501,31.407
1659520915.154359,31.407
1659520915.258812,31.35
1659520915.361217,31.35
1659520915.478983,31.355
1659520915.685842,31.355
1659520915.790295,31.398
1659520915.8927,31.398
1659520916.003298,31.352
1659520916.204011,31.352
1659520916.306417,31.447
1659520916.409846,31.447
1659520916.616704,31.357
1659520916.720133,31.357
1659520916.823563,31.428
1659520916.931088,31.428
1659520917.13385,31.421
1659520917.238303,31.421
1659520917.340708,31.376
1659520917.547567,31.376
1659520917.650996,31.405
1659520917.754425,31.405
1659520917.961283,31.4
1659520918.064713,31.4
1659520918.169166,31.324
1659520918.271571,31.324
1659520918.478429,31.309
1659520918.581858,31.302
1659520918.687336,31.285
1659520918.892146,31.285
1659520918.995575,31.374
1659520919.100029,31.374
1659520919.202434,31.319
1659520919.331464,31.319
1659520919.531154,31.374
1659520919.634583,31.374
1659520919.738012,31.385
1659520919.944871,31.385
1659520920.049324,31.328
1659520920.151729,31.328
1659520920.260278,31.319
1659520920.471233,31.319
1659520920.574662,31.309
1659520920.678091,31.309
1659520920.88495,31.352
1659520920.988379,31.352
1659520921.091808,31.314
1659520921.195237,31.314
1659520921.40824,31.254
1659520921.511669,31.254
1659520921.616122,31.412
1659520921.821957,31.412
1659520921.925386,31.295
1659520922.029839,31.295
1659520922.132244,31.364
1659520922.339103,31.364
1659520922.443556,31.309
1659520922.545961,31.309
1659520922.657582,31.44
1659520922.857272,31.433
1659520922.960701,31.309
1659520923.064131,31.309
1659520923.269965,31.352
1659520923.374418,31.359
1659520923.476823,31.359
1659520923.588445,31.359
1659520923.787111,31.34
1659520923.891564,31.333
1659520923.993969,31.397
1659520924.200828,31.397
1659520924.304257,31.273
1659520924.407686,31.273
1659520924.617616,31.324
1659520924.720021,31.324
1659520924.824475,31.302
1659520924.92688,31.302
1659520925.133738,31.374
1659520925.237167,31.374
1659520925.340597,31.292
1659520925.451194,31.292
1659520925.651908,31.331
1659520925.756361,31.331
1659520925.857743,31.328
1659520926.064601,31.328
1659520926.16803,31.281
1659520926.271459,31.273
1659520926.383081,31.373
1659520926.583795,31.373
1659520926.688248,31.288
1659520926.789629,31.288
1659520926.996487,31.359
1659520927.099916,31.359
1659520927.203346,31.321
1659520927.410204,31.321
1659520927.513633,31.392
1659520927.617062,31.392
1659520927.720492,31.342
1659520927.92735,31.342
1659520928.030779,31.283
1659520928.134208,31.283
1659520928.341067,31.319
1659520928.444496,31.319
1659520928.548949,31.223
1659520928.651354,31.23
1659520928.866405,31.3
1659520928.96881,31.292
1659520929.072239,31.371
1659520929.178741,31.371
1659520929.382527,31.388
1659520929.485956,31.388
1659520929.589385,31.361
1659520929.796243,31.361
1659520929.923226,31.29
1659520930.026655,31.29
1659520930.130084,31.309
1659520930.337966,31.309
1659520930.440372,31.347
1659520930.543801,31.347
1659520930.648254,31.402
1659520930.854088,31.402
1659520930.957518,31.285
1659520931.060947,31.285
1659520931.269853,31.29
1659520931.372258,31.29
1659520931.476712,31.354
1659520931.580141,31.354
1659520931.785975,31.304
1659520931.889404,31.304
1659520931.993857,31.276
1659520932.20174,31.276
1659520932.304145,31.3
1659520932.407574,31.3
1659520932.512027,31.333
1659520932.717862,31.326
1659520932.821291,31.278
1659520932.92472,31.278
1659520933.132602,31.266
1659520933.235008,31.266
1659520933.338437,31.342
1659520933.44289,31.342
1659520933.649748,31.342
1659520933.752153,31.342
1659520933.855582,31.378
1659520934.062441,31.378
1659520934.16587,31.304
1659520934.269299,31.304
1659520934.372728,31.311
1659520934.579587,31.311
1659520934.683016,31.252
1659520934.786445,31.252
1659520934.994328,31.326
1659520935.135647,31.318
1659520935.238052,31.287
1659520935.343529,31.295
1659520935.445934,31.299
1659520935.652792,31.292
1659520935.75827,31.221
1659520935.859651,31.228
1659520935.970248,31.326
1659520936.170962,31.326
1659520936.275416,31.357
1659520936.378845,31.357
1659520936.585703,31.333
1659520936.689132,31.333
1659520936.792562,31.292
1659520936.900087,31.292
1659520937.103873,31.259
1659520937.206278,31.259
1659520937.309707,31.29
1659520937.516566,31.29
1659520937.619995,31.307
1659520937.723424,31.307
1659520937.829925,31.383
1659520938.033711,31.383
1659520938.137141,31.206
1659520938.24057,31.206
1659520938.448452,31.307
1659520938.550857,31.307
1659520938.654287,31.295
1659520938.761812,31.295
1659520938.964574,31.342
1659520939.069027,31.342
1659520939.171432,31.285
1659520939.379315,31.285
1659520939.48172,31.278
1659520939.585149,31.278
1659520939.694723,31.33
1659520939.896461,31.323
1659520939.99989,31.264
1659520940.102295,31.271
1659520940.309153,31.252
1659520940.413607,31.252
1659520940.516012,31.299
1659520940.72287,31.299
1659520940.826299,31.319
1659520940.930753,31.319
1659520941.033158,31.326
1659520941.240016,31.326
1659520941.344469,31.285
1659520941.446874,31.285
1659520941.653733,31.335
1659520941.757162,31.335
1659520941.861615,31.28
1659520941.96402,31.28
1659520942.179071,31.316
1659520942.280452,31.316
1659520942.383881,31.283
1659520942.489358,31.283
1659520942.695193,31.373
1659520942.797598,31.373
1659520942.901027,31.309
1659520943.107885,31.309
1659520943.211314,31.321
1659520943.314744,31.314
1659520943.421245,31.318
1659520943.625031,31.326
1659520943.72846,31.388
1659520943.83189,31.388
1659520944.039772,31.39
1659520944.142177,31.39
1659520944.245606,31.359
1659520944.351084,31.359
1659520944.556918,31.338
1659520944.660347,31.338
1659520944.762752,31.276
1659520944.96961,31.276
1659520945.074064,31.295
1659520945.177493,31.295
1659520945.287066,31.304
1659520945.486756,31.304
1659520945.592234,31.38
1659520945.693615,31.38
1659520945.900473,31.323
1659520946.003902,31.323
1659520946.108356,31.283
1659520946.31419,31.283
1659520946.417619,31.276
1659520946.522072,31.276
1659520946.624477,31.409
1659520946.831336,31.409
1659520946.934765,31.361
1659520947.043314,31.361
1659520947.15084,31.288
1659520947.353602,31.288
1659520947.456007,31.326
1659520947.559436,31.326
1659520947.768342,31.264
1659520947.869724,31.264
1659520947.973153,31.316
1659520948.082726,31.316
1659520948.284464,31.29
1659520948.386869,31.29
1659520948.490299,31.354
1659520948.697157,31.354
1659520948.80161,31.357
1659520948.904015,31.357
1659520949.012565,31.373
1659520949.214303,31.373
1659520949.317732,31.338
1659520949.421161,31.338
1659520949.62802,31.342
