LocalTimestamp,TH
1659515908.681959,32.595
1659515908.788582,32.788
1659515908.992601,32.788
1659515909.096149,32.845
1659515909.199696,32.845
1659515909.408842,32.939
1659515909.510339,32.939
1659515909.613886,32.974
1659515909.720509,32.967
1659515909.925554,32.995
1659515910.04858,32.995
1659515910.152128,32.974
1659515910.255675,32.974
1659515910.46277,33.112
1659515910.566318,33.112
1659515910.745732,33.075
1659515910.85543,33.075
1659515910.957953,33.06
1659515911.077904,33.06
1659515911.184527,33.138
1659515911.388546,33.138
1659515911.492094,33.14
1659515911.595641,33.14
1659515911.803761,33.107
1659515911.906284,33.107
1659515912.009831,33.204
1659515912.115429,33.204
1659515912.321499,33.168
1659515912.424021,33.168
1659515912.527568,33.206
1659515912.736714,33.206
1659515912.838211,33.166
1659515912.941758,33.166
1659515913.048381,33.236
1659515913.253426,33.236
1659515913.355948,33.199
1659515913.459496,33.199
1659515913.668641,33.285
1659515913.770138,33.278
1659515913.873686,33.273
1659515913.980309,33.266
1659515914.185353,33.299
1659515914.287875,33.299
1659515914.391423,33.242
1659515914.600568,33.228
1659515914.702065,33.475
1659515914.805613,33.461
1659515914.90916,33.281
1659515915.11728,33.295
1659515915.219803,33.293
1659515915.32335,33.293
1659515915.530445,33.312
1659515915.679102,33.304
1659515915.781625,33.447
1659515915.894912,33.44
1659515916.008199,33.549
1659515916.120973,33.542
1659515916.328068,33.607
1659515916.431616,33.614
1659515916.535163,33.554
1659515916.640761,33.554
1659515916.845805,33.57
1659515916.949353,33.563
1659515917.0529,33.572
1659515917.262046,33.565
1659515917.363543,33.624
1659515917.46709,33.624
1659515917.574739,33.574
1659515917.777733,33.574
1659515917.88128,33.638
1659515917.984828,33.638
1659515918.193973,33.708
1659515918.29547,33.707
1659515918.399018,33.593
1659515918.516918,33.593
1659515918.722988,33.675
1659515918.826535,33.675
1659515918.930083,33.698
1659515919.034656,33.698
1659515919.252003,33.705
1659515919.357601,33.698
1659515919.459098,33.7
1659515919.571872,33.7
1659515919.76974,33.724
1659515919.874313,33.724
1659515919.976835,33.677
1659515920.189056,33.677
