LocalTimestamp,TH
1659430611.378746,34.248
1659430611.482237,34.248
1659430611.68922,34.213
1659430611.792712,34.22
1659430611.896204,34.399
1659430612.103187,34.399
1659430612.206678,34.586
1659430612.311195,34.572
1659430612.413661,34.675
1659430612.620645,34.661
1659430612.724136,34.415
1659430612.828653,34.43
1659430613.034611,34.622
1659430613.138103,34.513
1659430613.241594,34.762
1659430613.345086,34.747
1659430613.552069,34.874
1659430613.655561,34.874
1659430613.759052,34.827
1659430613.966035,34.827
1659430614.069527,34.943
1659430614.173018,34.95
1659430614.277535,35.012
1659430614.483493,35.012
1659430614.586985,34.93
1659430614.690476,34.937
1659430614.89746,34.976
1659430615.000951,34.976
1659430615.104443,35.006
1659430615.208959,35.006
1659430615.414918,34.939
1659430615.518409,34.947
1659430615.621901,34.993
1659430615.828884,34.993
1659430615.932375,34.989
1659430616.036892,34.996
1659430616.139359,35.014
1659430616.346342,35.014
1659430616.449833,34.971
1659430616.55435,34.971
1659430616.760308,35.008
1659430616.8638,35.015
1659430616.967291,34.983
1659430617.071808,34.983
1659430617.277766,35.024
1659430617.381258,35.024
1659430617.485774,34.999
1659430617.692757,35.006
1659430617.795224,35.057
1659430617.898716,35.057
1659430618.004257,35.018
1659430618.20919,35.018
1659430618.312682,35.055
1659430618.454086,35.055
1659430618.556553,35.039
1659430618.667217,35.046
1659430618.869077,34.995
1659430618.972569,34.995
1659430619.076061,34.991
1659430619.284068,34.991
1659430619.388585,35.028
1659430619.490027,35.035
1659430619.597617,35.037
1659430619.801526,35.037
1659430619.903993,35.001
1659430620.007485,35.001
1659430620.215493,35.07
1659430620.318984,35.07
1659430620.421451,35.074
1659430620.532115,35.074
1659430620.732951,35.045
1659430620.835418,35.052
1659430620.938909,35.052
1659430621.145892,35.052
1659430621.250409,35.066
1659430621.352875,35.066
1659430621.464564,35.114
1659430621.664375,35.114
1659430621.766842,35.116
1659430621.870333,35.116
1659430622.077317,35.153
1659430622.180808,35.16
1659430622.2843,35.108
1659430622.39189,35.108
1659430622.595799,34.979
1659430622.698266,34.979
1659430622.801758,35.121
1659430623.008741,35.121
1659430623.112232,35.071
1659430623.215724,35.071
1659430623.325364,35.103
1659430623.526199,35.103
1659430623.685023,35.156
1659430623.787489,35.156
1659430623.890981,35.09
1659430623.994473,35.097
1659430624.201456,35.076
1659430624.304947,35.076
1659430624.408439,35.136
1659430624.616447,35.136
1659430624.718914,35.083
1659430624.822405,35.083
1659430624.925897,35.069
1659430625.13288,35.069
1659430625.236372,35.056
1659430625.340888,35.063
1659430625.546846,35.127
1659430625.650338,35.12
1659430625.754854,35.099
1659430625.860395,35.099
1659430626.066354,35.086
1659430626.169845,35.093
1659430626.275386,35.111
1659430626.48032,35.111
1659430626.583812,35.194
1659430626.687303,35.194
1659430626.79182,35.109
1659430626.997778,35.109
1659430627.101269,35.166
1659430627.204761,35.166
1659430627.411744,35.162
1659430627.515236,35.162
1659430627.618727,35.157
1659430627.723244,35.157
1659430627.929202,35.176
1659430628.033719,35.176
1659430628.13721,35.122
1659430628.343168,35.122
1659430628.44666,35.128
1659430628.551177,35.135
1659430628.654668,35.084
1659430628.814516,35.084
1659430628.974365,35.146
1659430629.091177,35.146
1659430629.193644,35.126
1659430629.401652,35.126
1659430629.504119,35.086
1659430629.60761,35.086
1659430629.712127,35.211
1659430629.918085,35.211
1659430630.021577,35.103
1659430630.125068,35.103
1659430630.333076,35.142
1659430630.436568,35.142
1659430630.539035,35.135
1659430630.6456,35.135
1659430630.850534,35.146
1659430630.954026,35.146
1659430631.057517,35.135
1659430631.2645,35.135
1659430631.370041,35.16
1659430631.471484,35.167
1659430631.577024,35.195
1659430631.781958,35.195
1659430631.88545,35.158
1659430631.988941,35.158
1659430632.195925,35.174
1659430632.301466,35.174
1659430632.403933,35.19
1659430632.510498,35.19
1659430632.715432,35.14
1659430632.817899,35.14
1659430632.921391,35.188
1659430633.129398,35.188
1659430633.231865,35.175
1659430633.335357,35.175
1659430633.443972,35.19
1659430633.645832,35.19
1659430633.750348,35.115
1659430633.852815,35.115
1659430634.060823,35.161
1659430634.217597,35.161
1659430634.320064,35.101
1659430634.427654,35.101
1659430634.530121,35.198
1659430634.64181,35.198
1659430634.840596,35.216
1659430634.944088,35.216
1659430635.047579,35.152
1659430635.255587,35.152
1659430635.358054,35.257
1659430635.461545,35.257
1659430635.57016,35.202
1659430635.77202,35.202
1659430635.875512,35.101
1659430635.980028,35.108
1659430636.185987,35.191
1659430636.289478,35.184
1659430636.39297,35.156
1659430636.503634,35.156
1659430636.704469,35.11
1659430636.806936,35.118
1659430636.911452,35.154
1659430637.117411,35.154
1659430637.221927,35.205
1659430637.324394,35.205
1659430637.433009,35.217
1659430637.635893,35.217
1659430637.73836,35.15
1659430637.841852,35.15
1659430638.048835,35.223
1659430638.154376,35.223
