LocalTimestamp,TH
1659429514.157869,34.496
1659429514.283903,34.496
1659429514.390469,34.574
1659429514.596427,34.581
1659429514.699919,34.537
1659429514.804435,34.537
1659429514.907927,34.625
1659429515.113885,34.625
1659429515.217376,34.53
1659429515.321893,34.538
1659429515.528876,34.635
1659429515.631343,34.634
1659429515.734834,34.581
1659429515.838326,34.589
1659429516.05863,34.637
1659429516.162122,34.637
1659429516.265613,34.623
1659429516.371154,34.623
1659429516.58531,34.623
1659429516.688802,34.63
1659429516.792293,34.6
1659429516.901933,34.6
1659429517.108916,34.58
1659429517.211383,34.58
1659429517.314874,34.605
1659429517.522882,34.612
1659429517.626374,34.571
1659429517.73089,34.571
1659429517.834382,34.695
1659429518.041365,34.695
1659429518.143832,34.642
1659429518.248348,34.642
1659429518.454306,34.601
1659429518.557798,34.608
1659429518.66129,34.638
1659429518.764781,34.638
1659429518.971764,34.696
1659429519.075256,34.695
1659429519.178748,34.617
1659429519.385731,34.624
1659429519.489222,34.627
1659429519.645997,34.627
1659429519.748464,34.691
1659429519.856054,34.698
1659429519.961595,34.648
1659429520.166529,34.648
1659429520.268996,34.726
1659429520.374537,34.726
1659429520.58152,34.618
1659429520.683987,34.618
1659429520.787478,34.643
1659429520.893019,34.65
1659429521.098978,34.708
1659429521.201445,34.708
1659429521.304936,34.736
1659429521.512944,34.736
1659429521.615411,34.655
1659429521.718902,34.662
1659429521.827517,34.653
1659429522.030402,34.653
1659429522.132869,34.752
1659429522.23636,34.752
1659429522.443344,34.704
1659429522.54786,34.711
1659429522.651351,34.755
1659429522.758942,34.755
1659429522.962851,34.771
1659429523.064293,34.771
1659429523.167785,34.731
1659429523.374768,34.739
1659429523.479284,34.729
1659429523.582776,34.729
1659429523.691391,34.748
1659429523.894275,34.748
1659429523.995717,34.681
1659429524.099209,34.688
1659429524.307217,34.843
1659429524.409684,34.842
1659429524.5142,34.801
1659429524.62384,34.801
1659429524.759608,34.792
1659429524.895377,34.799
1659429525.088015,34.843
1659429525.193556,34.843
1659429525.294998,34.857
1659429525.501981,34.857
1659429525.605473,34.79
1659429525.708964,34.797
1659429525.915947,34.795
1659429526.019439,34.795
1659429526.123955,34.769
1659429526.226422,34.77
1659429526.43443,34.744
1659429526.537922,34.751
1659429526.640388,34.712
1659429526.750028,34.712
1659429526.951888,34.83
