SubjectID,Session,Phase,UN,LocalTimestamp
10,1,pretest,10ee1-pretest,1659443480
10,1,start,10ee1-start,1659443482
10,1,takeoff,10ee1-takeoff,1659443501
10,1,p1,10ee1-p1,1659443520
10,1,p1End,10ee1-p1end,1659443548
10,1,p2,10ee1-p2,1659443563
10,1,p2End,10ee1-p1end,1659443598
10,1,landing,10ee1-landing,1659443610
10,1,posttest,10ee1-posttest,1659443614
10,2,pretest,10ee2-pretest,1659514699
10,2,start,10ee2-start,1659514761
10,2,takeoff,10ee2-takeoff,1659514772
10,2,p1,10ee2-p1,1659514792
10,2,p1End,10ee2-p1end,1659514826
10,2,p2,10ee2-p2,1659514840
10,2,p2End,10ee2-p1end,1659514867
10,2,landing,10ee2-landing,1659514892
10,2,posttest,10ee2-posttest,1659514895
10,3,pretest,10ee3-pretest,1659434128
10,3,start,10ee3-start,1659434130
10,3,takeoff,10ee3-takeoff,1659434159
10,3,p1,10ee3-p1,1659434179
10,3,p1End,10ee3-p1end,1659434214
10,3,p2,10ee3-p2,1659434223
10,3,p2End,10ee3-p1end,1659434263
10,3,landing,10ee3-landing,1659434274
10,3,posttest,10ee3-posttest,1659434280
10,4,pretest,10ee4-pretest,1659515307
10,4,start,10ee4-start,1659515332
10,4,takeoff,10ee4-takeoff,1659515348
10,4,p1,10ee4-p1,1659515380
10,4,p1End,10ee4-p1end,1659515416
10,4,p2,10ee4-p2,1659515425
10,4,p2End,10ee4-p1end,1659515465
10,4,landing,10ee4-landing,1659515474
10,4,posttest,10ee4-posttest,1659515487
11,1,pretest,11ee1-pretest,1659441043
11,1,start,11ee1-start,1659441056
11,1,takeoff,11ee1-takeoff,1659441074
11,1,p1,11ee1-p1,1659441094
11,1,p1End,11ee1-p1end,1659441114
11,1,p2,11ee1-p2,1659441140
11,1,p2End,11ee1-p1end,1659441165
11,1,landing,11ee1-landing,1659441200
11,1,posttest,11ee1-posttest,1659441207
11,2,pretest,11ee2-pretest,1659514494
11,2,start,11ee2-start,1659514559
11,2,takeoff,11ee2-takeoff,1659514573
11,2,p1,11ee2-p1,1659514597
11,2,p1End,11ee2-p1end,1659514627
11,2,p2,11ee2-p2,1659514635
11,2,p2End,11ee2-p1end,1659514663
11,2,landing,11ee2-landing,1659514680
11,2,posttest,11ee2-posttest,1659514688
11,3,pretest,11ee3-pretest,1659515140
11,3,start,11ee3-start,1659515161
11,3,takeoff,11ee3-takeoff,1659515175
11,3,p1,11ee3-p1,1659515192
11,3,p1End,11ee3-p1end,1659515219
11,3,p2,11ee3-p2,1659515237
11,3,p2End,11ee3-p1end,1659515269
11,3,landing,11ee3-landing,1659515287
11,3,posttest,11ee3-posttest,1659515290
11,4,pretest,11ee4-pretest,1659434366
11,4,start,11ee4-start,1659434382
11,4,takeoff,11ee4-takeoff,1659434425
11,4,p1,11ee4-p1,1659434448
11,4,p1End,11ee4-p1end,1659434476
11,4,p2,11ee4-p2,1659434487
11,4,p2End,11ee4-p1end,1659434519
11,4,landing,11ee4-landing,1659434582
11,4,posttest,11ee4-posttest,1659434586
12,1,pretest,12ee1-pretest,1659514282
12,1,start,12ee1-start,1659514298
12,1,takeoff,12ee1-takeoff,1659514325
12,1,p1,12ee1-p1,1659514353
12,1,p1End,12ee1-p1end,1659514380
12,1,p2,12ee1-p2,1659514398
12,1,p2End,12ee1-p1end,1659514428
12,1,landing,12ee1-landing,1659514450
12,1,posttest,12ee1-posttest,1659514452
12,2,pretest,12ee2-pretest,1659440546
12,2,start,12ee2-start,1659440656
12,2,takeoff,12ee2-takeoff,1659440671
12,2,p1,12ee2-p1,1659440694
12,2,p1End,12ee2-p1end,1659440725
12,2,p2,12ee2-p2,1659440741
12,2,p2End,12ee2-p1end,1659440777
12,2,landing,12ee2-landing,1659440794
12,2,posttest,12ee2-posttest,1659440799
12,3,pretest,12ee3-pretest,1659514912
12,3,start,12ee3-start,1659514952
12,3,takeoff,12ee3-takeoff,1659514969
12,3,p1,12ee3-p1,1659514997
12,3,p1End,12ee3-p1end,1659515023
12,3,p2,12ee3-p2,1659515041
12,3,p2End,12ee3-p1end,1659515073
12,3,landing,12ee3-landing,1659515094
12,3,posttest,12ee3-posttest,1659515102
12,4,pretest,12ee4-pretest,1659433852
12,4,start,12ee4-start,1659433858
12,4,takeoff,12ee4-takeoff,1659433914
12,4,p1,12ee4-p1,1659433930
12,4,p1End,12ee4-p1end,1659433962
12,4,p2,12ee4-p2,1659433976
12,4,p2End,12ee4-p1end,1659434014
12,4,landing,12ee4-landing,1659434040
12,4,posttest,12ee4-posttest,1659434043
