LocalTimestamp,EA
1659515140.011144,0.993932
1659515140.078809,0.877261
1659515140.144936,0.880688
1659515140.211062,0.876821
1659515140.275651,0.881687
1659515140.341266,0.877702
1659515140.40688,0.875804
1659515140.474545,0.879468
1659515140.541697,0.881076
1659515140.608849,0.874244
1659515140.675488,0.87258
1659515140.741615,0.874873
1659515140.807742,0.871872
1659515140.875407,0.858723
1659515140.943071,0.845071
1659515141.009711,0.837451
1659515141.075838,0.839362
1659515141.141964,0.84199
1659515141.207579,0.845632
1659515141.273193,0.849693
1659515141.338807,0.853585
1659515141.406472,0.858301
1659515141.473111,0.861395
1659515141.539751,0.862538
1659515141.605365,0.862805
1659515141.672004,0.861741
1659515141.738644,0.861475
1659515141.806309,0.864138
1659515141.873973,0.867571
1659515141.940613,0.869702
1659515142.00674,0.869485
1659515142.072866,0.869026
1659515142.140531,0.868863
1659515142.20717,0.86908
1659515142.27381,0.869567
1659515142.341475,0.869296
1659515142.407431,0.867597
1659515142.473387,0.866012
1659515142.539343,0.865877
1659515142.604957,0.866199
1659515142.670571,0.86722
1659515142.738236,0.868298
1659515142.805388,0.868648
1659515142.87254,0.866683
1659515142.939179,0.866897
1659515143.005819,0.86827
1659515143.072458,0.869323
1659515143.139098,0.870054
1659515143.20625,0.870161
1659515143.273402,0.870352
1659515143.337991,0.87111
1659515143.40463,0.872062
1659515143.47127,0.873233
1659515143.536884,0.873533
1659515143.602498,0.871872
1659515143.670163,0.867947
1659515143.735777,0.865716
1659515143.801392,0.865501
1659515143.869056,0.867112
1659515143.935183,0.869648
1659515144.00131,0.871492
1659515144.06795,0.87277
1659515144.135102,0.87209
1659515144.202254,0.870189
1659515144.26838,0.869107
1659515144.334507,0.868135
1659515144.401147,0.86722
1659515144.467786,0.86636
1659515144.534426,0.865635
1659515144.60209,0.864913
1659515144.66873,0.864485
1659515144.735369,0.864565
1659515144.800983,0.864298
1659515144.866598,0.864377
1659515144.932212,0.863497
1659515144.999877,0.86291
1659515145.067541,0.862511
1659515145.135206,0.861236
1659515145.201333,0.859965
1659515145.26746,0.859515
1659515145.335124,0.859621
1659515145.401764,0.859753
1659515145.468403,0.85925
1659515145.537093,0.858354
1659515145.602707,0.857695
1659515145.668322,0.857012
1659515145.733936,0.85633
1659515145.800063,0.855989
1659515145.86619,0.854863
1659515145.933854,0.853428
1659515146.000494,0.852075
1659515146.067133,0.851167
1659515146.133773,0.849977
1659515146.200412,0.846246
1659515146.267052,0.84349
1659515146.334204,0.842422
1659515146.401356,0.841737
1659515146.467995,0.841407
1659515146.53361,0.840245
1659515146.599224,0.838883
1659515146.664838,0.838431
1659515146.731477,0.838431
1659515146.798117,0.838883
1659515146.865782,0.839412
1659515146.931908,0.838607
1659515146.998035,0.837652
1659515147.064162,0.837426
1659515147.130289,0.837075
1659515147.196929,0.836399
1659515147.263568,0.83495
1659515147.330207,0.826484
1659515147.397872,0.814067
1659515147.463999,0.817949
1659515147.530126,0.822739
1659515147.59779,0.824705
1659515147.665113,0.824705
1659515147.732436,0.823612
1659515147.799759,0.824607
1659515147.865374,0.825435
1659515147.930988,0.824534
