LocalTimestamp,EA
1659520874.751954,1.007397
1659520874.819029,1.18367
1659520874.885593,1.166046
1659520874.95318,1.134762
1659520875.020767,1.125852
1659520875.086307,1.127487
1659520875.153894,1.147903
1659520875.221482,1.146537
1659520875.287021,1.134532
1659520875.353072,1.13077
1659520875.419123,1.131594
1659520875.485687,1.124313
1659520875.55225,1.109633
1659520875.620862,1.097178
1659520875.686913,1.082858
1659520875.752964,1.075361
1659520875.819527,1.074741
1659520875.887115,1.072679
1659520875.954702,1.080513
1659520876.020241,1.089015
1659520876.086293,1.094944
1659520876.152344,1.093488
1659520876.219931,1.092249
1659520876.285983,1.095158
1659520876.352034,1.105115
1659520876.418085,1.127668
1659520876.484137,1.142835
1659520876.551724,1.14419
1659520876.617775,1.143722
1659520876.683827,1.144565
1659520876.747318,1.144238
1659520876.814905,1.145128
1659520876.882493,1.147619
1659520876.949056,1.156928
1659520877.015107,1.141901
1659520877.081158,1.115209
1659520877.148746,1.110778
1659520877.216333,1.107566
1659520877.283921,1.10372
1659520877.34946,1.106997
1659520877.414999,1.108005
1659520877.483611,1.107216
1659520877.550174,1.111485
1659520877.616737,1.121518
1659520877.680228,1.125581
1659520877.74628,1.119632
1659520877.812331,1.118242
1659520877.880943,1.124494
1659520877.947506,1.130999
1659520878.014069,1.13481
1659520878.080632,1.136563
1659520878.14822,1.137672
1659520878.215807,1.140178
1659520878.282371,1.142647
1659520878.348934,1.144517
1659520878.415497,1.147477
1659520878.483085,1.149836
1659520878.550672,1.149318
1659520878.615187,1.147903
1659520878.681239,1.148375
1659520878.74729,1.150737
1659520878.815901,1.15468
1659520878.882465,1.159662
1659520878.949028,1.161494
1659520879.012519,1.161734
1659520879.080106,1.160913
1659520879.147694,1.157788
1659520879.214257,1.156975
1659520879.280308,1.156257
1659520879.34636,1.156257
1659520879.413435,1.157213
1659520879.48051,1.159567
1659520879.547074,1.162555
1659520879.612613,1.163863
1659520879.678152,1.162361
1659520879.74574,1.159999
1659520879.812303,1.160094
1659520879.878866,1.161253
1659520879.942358,1.162749
1659520880.008921,1.162603
1659520880.075484,1.161734
1659520880.143072,1.160288
1659520880.209635,1.158126
1659520880.276198,1.156878
1659520880.342762,1.152824
1659520880.409325,1.146442
1659520880.476912,1.143535
1659520880.543476,1.144004
1659520880.610039,1.146159
1659520880.67609,1.149791
1659520880.742142,1.149979
1659520880.810753,1.135454
1659520880.876804,1.108489
1659520880.942856,1.106121
1659520881.007371,1.126896
1659520881.074446,1.133107
1659520881.141522,1.134027
1659520881.209109,1.131274
1659520881.275672,1.128625
1659520881.342236,1.127941
1659520881.409823,1.127533
1659520881.476898,1.128943
1659520881.543974,1.128487
1659520881.610537,1.127214
1659520881.6771,1.125218
1659520881.744688,1.123455
1659520881.811251,1.121518
1659520881.877815,1.119272
1659520881.941306,1.116768
1659520882.007869,1.113078
1659520882.074432,1.110028
1659520882.14202,1.108928
1659520882.207559,1.10739
1659520882.273098,1.105594
1659520882.337613,1.104284
1659520882.405201,1.103109
1659520882.472788,1.101415
1659520882.53901,1.098731
1659520882.605232,1.094601
1659520882.671454,1.091055
1659520882.739042,1.088549
1659520882.805093,1.085801
1659520882.871144,1.083528
1659520882.937707,1.082815
1659520883.004783,1.081684
1659520883.071858,1.080139
1659520883.137909,1.078971
1659520883.203961,1.078056
1659520883.267452,1.076976
1659520883.334527,1.075567
1659520883.401603,1.073832
1659520883.468166,1.07198
1659520883.534217,1.070173
1659520883.600269,1.068702
1659520883.667856,1.067925
1659520883.734931,1.06658
1659520883.802007,1.065444
1659520883.867546,1.064591
1659520883.935133,1.063498
1659520884.002721,1.06269
1659520884.069796,1.061882
1659520884.136872,1.061036
1659520884.201387,1.06011
1659520884.26795,1.059669
1659520884.334513,1.059106
1659520884.403125,1.058225
1659520884.468664,1.056305
1659520884.534203,1.053877
1659520884.600767,1.052607
1659520884.668866,1.052212
1659520884.736965,1.050708
1659520884.802505,1.049604
1659520884.869068,1.049407
1659520884.935632,1.047912
1659520885.002707,1.045795
1659520885.069782,1.044467
1659520885.135321,1.043142
1659520885.201373,1.043065
1659520885.267424,1.042287
1659520885.336035,1.042053
1659520885.402087,1.042093
1659520885.468138,1.042598
1659520885.531629,1.043142
1659520885.598705,1.043103
1659520885.66578,1.042637
1659520885.732343,1.043181
1659520885.798907,1.043844
1659520885.86547,1.044234
1659520885.932033,1.044389
1659520885.998597,1.045365
1659520886.06516,1.046421
1659520886.131211,1.047873
1659520886.197263,1.048227
1659520886.26485,1.047559
1659520886.331925,1.047363
1659520886.399001,1.047598
1659520886.462492,1.04866
1659520886.529055,1.049604
1659520886.595618,1.050195
1659520886.662182,1.050828
1659520886.728745,1.05134
1659520886.795308,1.051578
1659520886.862896,1.051854
1659520886.930483,1.052527
1659520886.997046,1.051974
1659520887.064122,1.050866
1659520887.131197,1.050471
1659520887.197761,1.050393
1659520887.265348,1.049841
1659520887.332935,1.049366
1659520887.39745,1.050432
1659520887.464014,1.049722
1659520887.530577,1.046813
1659520887.599189,1.044623
1659520887.66524,1.042519
1659520887.731291,1.041083
1659520887.797343,1.039419
1659520887.863394,1.037838
1659520887.930469,1.036607
1659520887.997545,1.035684
1659520888.064108,1.034917
1659520888.130671,1.033693
1659520888.197235,1.033081
1659520888.26431,1.032242
1659520888.331385,1.031747
1659520888.396924,1.031444
1659520888.464,1.031177
1659520888.531075,1.031215
1659520888.595591,1.03034
1659520888.66113,1.029467
1659520888.726669,1.029695
1659520888.79528,1.028219
1659520888.861844,1.025579
1659520888.928407,1.023851
1659520888.993946,1.022989
1659520889.059486,1.021867
1659520889.126049,1.020973
1659520889.193124,1.019891
1659520889.2602,1.019074
1659520889.325739,1.018517
1659520889.392302,1.017294
1659520889.458866,1.015557
1659520889.526453,1.013974
1659520889.592504,1.012615
1659520889.658556,1.011187
1659520889.726143,1.00958
1659520889.793218,1.008743
1659520889.860294,1.007797
1659520889.924809,1.006093
1659520889.99086,1.004647
