LocalTimestamp,EA
1659440848.373599,0.430327
1659440848.439735,0.353156
1659440848.505872,0.34163
1659440848.572521,0.346757
1659440848.640196,0.351354
1659440848.70787,0.354369
1659440848.773494,0.355356
1659440848.840144,0.355415
1659440848.906793,0.357249
1659440848.974468,0.355546
1659440849.041117,0.35216
1659440849.107766,0.35555
1659440849.17339,0.358394
1659440849.239014,0.356153
1659440849.305663,0.356439
1659440849.371287,0.359168
1659440849.436911,0.363194
1659440849.503561,0.366518
1659440849.57021,0.368873
1659440849.636859,0.370825
1659440849.704534,0.37028
1659440849.77067,0.365736
1659440849.836807,0.370643
1659440849.903969,0.376118
1659440849.971131,0.377672
1659440850.038805,0.378844
1659440850.104429,0.380049
1659440850.170053,0.381642
1659440850.234652,0.383679
1659440850.301301,0.386453
1659440850.367951,0.389587
1659440850.435625,0.392007
1659440850.501249,0.392414
1659440850.566873,0.391804
1659440850.633523,0.392194
1659440850.700172,0.393032
1659440850.766821,0.393535
1659440850.83347,0.393497
1659440850.90012,0.393148
1659440850.96882,0.393225
1659440851.034956,0.392977
1659440851.101093,0.39159
1659440851.167742,0.388596
1659440851.234391,0.385037
1659440851.301041,0.383574
1659440851.369741,0.381647
1659440851.435365,0.379936
1659440851.500989,0.380701
1659440851.567638,0.381777
1659440851.633775,0.381236
1659440851.699911,0.379848
1659440851.766561,0.381018
1659440851.83321,0.382708
1659440851.900885,0.383075
1659440851.967534,0.383148
1659440852.034183,0.383069
1659440852.099807,0.382891
1659440852.16714,0.382718
1659440852.234473,0.382556
1659440852.301806,0.382535
1659440852.367942,0.382399
1659440852.434079,0.382064
1659440852.498677,0.381507
1659440852.56584,0.381423
1659440852.633002,0.381387
1659440852.699651,0.381418
1659440852.765787,0.381418
1659440852.831924,0.38172
1659440852.898061,0.382085
1659440852.964197,0.382279
1659440853.030847,0.382284
1659440853.096983,0.382305
1659440853.16312,0.382305
1659440853.23182,0.382007
1659440853.297956,0.381658
1659440853.364093,0.381434
1659440853.429717,0.381408
1659440853.496366,0.381574
1659440853.563015,0.381527
1659440853.631716,0.381491
1659440853.69734,0.381512
1659440853.762964,0.381444
1659440853.829613,0.381278
1659440853.896262,0.380815
1659440853.961886,0.380178
1659440854.028535,0.379436
1659440854.095185,0.379153
1659440854.162859,0.379029
1659440854.230021,0.378916
1659440854.297183,0.378752
1659440854.362807,0.379116
1659440854.429969,0.381075
1659440854.497131,0.383238
1659440854.565831,0.384265
1659440854.631455,0.384619
1659440854.697079,0.38508
1659440854.761678,0.385234
1659440854.829352,0.385377
1659440854.897027,0.385478
1659440854.962651,0.3856
1659440855.028275,0.385616
1659440855.095949,0.385904
1659440855.163111,0.384889
1659440855.230273,0.373186
1659440855.296923,0.358321
1659440855.363572,0.356821
1659440855.430221,0.35839
1659440855.498921,0.359472
1659440855.565058,0.360753
1659440855.631195,0.363369
1659440855.696819,0.367235
1659440855.763468,0.369092
