LocalTimestamp,T1
1659520671.48649,31.544
1659520671.619617,31.484
1659520671.751719,31.564
1659520671.88587,31.599
1659520672.017973,31.684
1659520672.152123,31.722
1659520672.284226,31.667
1659520672.416841,31.714
1659520672.549455,31.734
1659520672.681558,31.743
1659520672.815709,31.747
1659520672.948835,31.713
1659520673.082986,31.699
1659520673.217137,31.692
1659520673.349239,31.725
1659520673.484414,31.597
1659520673.616517,31.719
1659520673.749643,31.737
1659520673.88277,31.638
1659520674.014873,31.701
1659520674.149023,31.764
1659520674.281126,31.756
1659520674.414253,31.682
1659520674.547379,31.614
1659520674.679482,31.691
1659520674.812608,31.831
1659520674.944711,31.785
1659520675.078862,31.801
1659520675.211988,31.949
1659520675.345115,32.013
1659520675.478242,31.864
1659520675.608296,31.906
1659520675.743471,31.888
1659520675.875574,31.81
1659520676.0087,31.918
1659520676.142851,31.893
1659520676.275978,31.883
1659520676.411153,31.949
1659520676.543255,31.978
1659520676.677406,31.884
1659520676.811557,31.985
1659520676.942635,32.065
1659520677.076786,32.028
1659520677.208889,32.012
1659520677.343039,31.97
1659520677.476166,31.881
1659520677.609293,31.948
1659520677.742419,31.978
1659520677.873498,31.884
1659520678.006624,32.021
1659520678.138727,32.115
1659520678.271854,32.05
1659520678.406004,32.057
1659520678.538107,32.096
1659520678.673282,32.006
1659520678.805384,32.073
1659520678.939535,32.032
1659520679.073686,32.049
1659520679.205788,32.092
1659520679.339939,32.075
1659520679.472042,32.104
1659520679.607216,32.151
1659520679.740343,32.172
1659520679.87347,32.11
1659520680.00762,32.083
1659520680.139723,32.071
1659520680.27285,31.995
1659520680.404952,31.998
1659520680.538079,32.106
1659520680.671206,32.081
1659520680.804332,32.071
1659520680.938483,32.101
1659520681.069561,32.15
1659520681.202688,32.207
1659520681.335815,32.16
1659520681.466893,32.14
1659520681.602068,32.132
1659520681.734171,32.199
1659520681.869346,32.192
1659520682.002472,32.154
1659520682.135599,32.209
1659520682.26975,32.161
1659520682.401852,32.212
1659520682.536003,32.198
1659520682.66913,32.157
1659520682.802256,32.174
1659520682.935895,32.182
1659520683.069534,32.256
1659520683.203684,32.182
1659520683.336299,32.22
1659520683.468914,32.202
1659520683.601016,32.194
1659520683.733119,32.226
1659520683.866246,32.204
1659520683.998348,32.159
1659520684.132499,32.175
1659520684.265625,32.147
1659520684.396704,32.241
1659520684.530855,32.211
1659520684.662957,32.233
1659520684.796084,32.278
1659520684.929211,32.369
1659520685.062337,32.301
1659520685.196488,32.237
1659520685.329615,32.209
1659520685.463765,32.197
1659520685.594844,32.191
1659520685.728995,32.225
1659520685.862121,32.275
1659520685.994224,32.225
1659520686.128375,32.239
1659520686.260477,32.387
1659520686.394628,32.345
1659520686.526731,32.362
1659520686.658833,32.263
1659520686.794008,32.327
1659520686.925086,32.319
1659520687.058213,32.351
1659520687.190316,32.294
1659520687.322418,32.375
1659520687.456569,32.411
1659520687.588672,32.39
1659520687.722822,32.311
1659520687.854925,32.383
1659520687.988052,32.272
1659520688.121178,32.33
1659520688.254305,32.32
1659520688.38948,32.245
1659520688.522606,32.354
1659520688.656757,32.331
1659520688.789884,32.249
1659520688.921986,32.321
1659520689.057161,32.422
1659520689.18824,32.396
1659520689.321366,32.455
1659520689.454493,32.374
1659520689.58762,32.304
1659520689.72177,32.344
1659520689.853873,32.397
1659520689.988024,32.385
1659520690.12115,32.415
1659520690.252229,32.392
1659520690.385355,32.382
1659520690.517458,32.449
1659520690.651609,32.407
1659520690.784735,32.46
1659520690.918886,32.483
1659520691.052013,32.528
1659520691.184115,32.406
1659520691.318266,32.459
1659520691.450369,32.447
1659520691.58452,32.477
1659520691.717646,32.455
1659520691.850773,32.551
1659520691.985948,32.487
1659520692.11805,32.388
1659520692.252201,32.381
1659520692.385328,32.448
1659520692.51743,32.407
1659520692.650557,32.46
1659520692.78266,32.447
1659520692.91681,32.513
1659520693.048913,32.435
1659520693.182039,32.472
1659520693.315166,32.559
1659520693.447781,32.525
1659520693.580395,32.582
1659520693.712498,32.535
1659520693.846649,32.515
1659520693.979775,32.471
1659520694.113926,32.452
1659520694.249101,32.444
1659520694.380179,32.405
1659520694.51433,32.423
1659520694.647457,32.396
1659520694.779559,32.455
1659520694.914734,32.551
1659520695.046837,32.522
1659520695.182012,32.581
1659520695.314114,32.57
1659520695.448265,32.53
1659520695.581392,32.442
1659520695.713494,32.51
1659520695.846621,32.575
1659520695.978723,32.462
1659520696.11185,32.519
1659520696.244977,32.579
1659520696.378103,32.57
1659520696.512254,32.637
1659520696.643332,32.559
1659520696.778507,32.526
