LocalTimestamp,T1
1659443479.969835,32.83
1659443480.103989,32.784
1659443480.23507,32.836
1659443480.369224,32.752
1659443480.501329,32.857
1659443480.633435,32.903
1659443480.766565,32.887
1659443480.89867,32.951
1659443481.0318,32.943
1659443481.16493,32.905
1659443481.299083,32.959
1659443481.432213,32.947
1659443481.565343,32.906
1659443481.698472,32.888
1659443481.830578,32.987
1659443481.964731,32.994
1659443482.097861,32.998
1659443482.232015,32.999
1659443482.367193,33.07
1659443482.498274,32.96
1659443482.631404,33.053
1659443482.764533,33.059
1659443482.896639,32.99
1659443483.030793,33.173
1659443483.162898,33.181
1659443483.297052,33.007
1659443483.429157,33.11
1659443483.563311,33.154
1659443483.696441,33.102
1659443483.828546,33.151
1659443483.961676,33.171
1659443484.093781,33.251
1659443484.226911,33.215
1659443484.359017,33.199
1659443484.492146,33.193
1659443484.6263,33.225
1659443484.757382,33.133
1659443484.892559,33.235
1659443485.024665,33.314
1659443485.157795,33.242
1659443485.292972,33.247
1659443485.425078,33.213
1659443485.560256,33.234
1659443485.692361,33.314
1659443485.825491,33.136
1659443485.958621,33.13
1659443486.090726,33.233
1659443486.223344,33.207
1659443486.355961,33.267
1659443486.490115,33.257
1659443486.623245,33.182
1659443486.756374,33.221
1659443486.890528,33.202
1659443487.02161,33.3
1659443487.155763,33.307
1659443487.287869,33.275
1659443487.419974,33.225
1659443487.554128,33.239
1659443487.686234,33.281
1659443487.821411,33.334
1659443487.953517,33.322
1659443488.087671,33.352
1659443488.222848,33.365
1659443488.35393,33.264
1659443488.48706,33.327
1659443488.619165,33.425
1659443488.753319,33.29
1659443488.886449,33.374
1659443489.019578,33.374
1659443489.153732,33.233
1659443489.284813,33.278
1659443489.418967,33.333
1659443489.551073,33.286
1659443489.684202,33.372
1659443489.818356,33.409
1659443489.950462,33.461
1659443490.084615,33.306
1659443490.215697,33.345
1659443490.348826,33.327
1659443490.48298,33.319
1659443490.614062,33.28
1659443490.748215,33.298
1659443490.880321,33.306
1659443491.015499,33.381
1659443491.149652,33.377
1659443491.282782,33.27
1659443491.416936,33.436
1659443491.550065,33.401
1659443491.683195,33.351
1659443491.8153,33.329
1659443491.94843,33.32
1659443492.082584,33.316
1659443492.215714,33.385
1659443492.349867,33.415
1659443492.480949,33.392
1659443492.614078,33.453
1659443492.748232,33.515
1659443492.879313,33.507
1659443493.013467,33.432
1659443493.145573,33.506
1659443493.279727,33.467
1659443493.412856,33.415
1659443493.545986,33.428
1659443493.68014,33.433
1659443493.812245,33.4
1659443493.945375,33.386
1659443494.078504,33.522
1659443494.211634,33.438
1659443494.344764,33.402
1659443494.478917,33.458
1659443494.613071,33.411
1659443494.745177,33.39
1659443494.87933,33.453
1659443495.01246,33.479
1659443495.144566,33.456
1659443495.278719,33.552
1659443495.410825,33.522
1659443495.544979,33.545
1659443495.678108,33.626
1659443495.80919,33.59
1659443495.942319,33.539
1659443496.074425,33.517
1659443496.20653,33.33
