LocalTimestamp,T1
1659522163.033485,33.251
1659522163.167636,33.144
1659522163.299738,33.133
1659522163.433889,33.164
1659522163.565991,33.142
1659522163.701166,33.168
1659522163.833269,33.108
1659522163.966396,33.153
1659522164.099522,33.137
1659522164.231625,33.166
1659522164.363727,33.214
1659522164.49583,33.199
1659522164.628957,33.192
1659522164.762083,33.261
1659522164.89521,33.255
1659522165.029361,33.181
1659522165.160439,33.149
1659522165.293566,33.1
1659522165.426692,33.114
1659522165.557771,33.227
1659522165.692946,33.275
1659522165.825048,33.332
1659522165.960223,33.392
1659522166.09335,33.311
1659522166.227501,33.277
1659522166.361651,33.297
1659522166.493754,33.235
1659522166.627905,33.385
1659522166.760007,33.309
1659522166.893134,33.275
1659522167.027285,33.367
1659522167.160411,33.301
1659522167.294562,33.307
1659522167.425641,33.31
1659522167.559791,33.205
1659522167.691894,33.302
1659522167.823997,33.237
1659522167.957123,33.315
1659522168.089226,33.243
1659522168.223377,33.282
1659522168.356503,33.299
1659522168.488606,33.342
1659522168.622756,33.254
1659522168.754859,33.216
1659522168.88901,33.271
1659522169.022136,33.365
1659522169.156287,33.3
1659522169.290438,33.378
1659522169.423564,33.376
1659522169.557715,33.446
1659522169.688794,33.37
1659522169.822944,33.373
1659522169.956071,33.41
1659522170.088174,33.319
1659522170.222324,33.422
1659522170.354427,33.324
1659522170.488578,33.318
1659522170.62068,33.457
1659522170.752783,33.339
1659522170.887958,33.36
1659522171.019036,33.439
1659522171.152163,33.474
1659522171.284266,33.418
1659522171.417392,33.464
1659522171.551543,33.414
1659522171.683645,33.321
1659522171.817796,33.352
1659522171.949899,33.4
1659522172.083025,33.421
1659522172.216152,33.36
1659522172.349279,33.404
1659522172.484454,33.387
1659522172.61758,33.38
1659522172.751731,33.342
1659522172.883834,33.396
1659522173.015936,33.42
1659522173.151111,33.43
1659522173.28219,33.47
1659522173.415316,33.451
1659522173.547419,33.408
1659522173.680545,33.425
1659522173.813672,33.432
1659522173.945775,33.435
1659522174.079926,33.401
1659522174.213052,33.351
1659522174.344131,33.435
1659522174.477257,33.366
1659522174.60936,33.371
1659522174.743511,33.48
1659522174.876637,33.42
1659522175.010788,33.395
1659522175.143915,33.419
1659522175.276017,33.359
1659522175.410168,33.368
1659522175.542271,33.336
1659522175.676421,33.394
1659522175.809548,33.489
1659522175.942675,33.46
1659522176.076825,33.412
1659522176.207904,33.462
1659522176.342055,33.448
1659522176.475181,33.513
1659522176.607284,33.506
1659522176.740411,33.467
1659522176.872513,33.45
1659522177.006664,33.514
1659522177.138767,33.435
1659522177.271893,33.507
1659522177.40502,33.432
1659522177.537122,33.506
1659522177.670249,33.503
1659522177.802352,33.572
1659522177.936502,33.567
1659522178.069629,33.564
1659522178.20378,33.492
1659522178.338954,33.497
1659522178.470033,33.357
1659522178.604184,33.473
1659522178.73731,33.453
1659522178.869413,33.444
1659522179.004588,33.511
1659522179.13669,33.469
1659522179.271865,33.522
1659522179.403968,33.545
1659522179.538118,33.413
