LocalTimestamp,T1
1659514080.485734,32.067
1659514080.617987,32.136
1659514080.752292,32.059
1659514080.886596,32.096
1659514081.017824,32.077
1659514081.152128,32.069
1659514081.284382,32.065
1659514081.418686,32.099
1659514081.55094,32.149
1659514081.684219,32.065
1659514081.817498,32.063
1659514081.949752,32.063
1659514082.082005,31.992
1659514082.214259,32.138
1659514082.347538,32.166
1659514082.480817,32.143
1659514082.61307,32.168
1659514082.7484,32.25
1659514082.879628,32.285
1659514083.013932,32.23
1659514083.147211,32.135
1659514083.27844,32.2
1659514083.412744,32.122
1659514083.544998,32.124
1659514083.680327,32.16
1659514083.813606,32.14
1659514083.946885,32.273
1659514084.081189,32.296
1659514084.213443,32.234
1659514084.346722,32.208
1659514084.478975,32.338
1659514084.612254,32.217
1659514084.745533,32.165
1659514084.878812,32.213
1659514085.012091,32.199
1659514085.14332,32.228
1659514085.277624,32.276
1659514085.409878,32.261
1659514085.541106,32.29
1659514085.67541,32.374
1659514085.807664,32.374
1659514085.941968,32.339
1659514086.075247,32.324
1659514086.2075,32.247
1659514086.341805,32.249
1659514086.474058,32.249
1659514086.608362,32.356
1659514086.740616,32.367
1659514086.873895,32.336
1659514087.008199,32.429
1659514087.141478,32.327
1659514087.275782,32.354
1659514087.405986,32.472
1659514087.54029,32.346
1659514087.672544,32.327
1659514087.804797,32.39
1659514087.938076,32.381
1659514088.07033,32.342
1659514088.204634,32.325
1659514088.336888,32.318
1659514088.468116,32.386
1659514088.603446,32.38
1659514088.734674,32.271
1659514088.867953,32.33
1659514089.000207,32.355
1659514089.133486,32.402
1659514089.26779,32.422
1659514089.401069,32.395
1659514089.535373,32.348
1659514089.666601,32.257
1659514089.800905,32.253
1659514089.934184,32.358
1659514090.066438,32.332
1659514090.200742,32.321
1659514090.332996,32.423
1659514090.4673,32.36
1659514090.599554,32.369
1659514090.731807,32.479
1659514090.867137,32.313
1659514090.998365,32.419
1659514091.131644,32.359
1659514091.263898,32.368
1659514091.396152,32.372
1659514091.52943,32.445
1659514091.661684,32.441
1659514091.795988,32.439
1659514091.929267,32.474
1659514092.061521,32.453
1659514092.1948,32.444
1659514092.328079,32.37
1659514092.462383,32.373
1659514092.595662,32.374
1659514092.729966,32.339
1659514092.86222,32.466
1659514092.994473,32.45
1659514093.128778,32.478
1659514093.261031,32.526
1659514093.39431,32.476
1659514093.527589,32.525
1659514093.660868,32.511
1659514093.795172,32.434
1659514093.927426,32.507
1659514094.06173,32.467
1659514094.193984,32.521
1659514094.325212,32.509
1659514094.458491,32.433
