LocalTimestamp,T1
1659520242.093107,31.73
1659520242.225722,31.741
1659520242.358848,31.711
1659520242.492999,31.627
1659520242.625102,31.59
1659520242.760276,31.681
1659520242.892379,31.72
1659520243.02653,31.631
1659520243.16068,31.592
1659520243.292783,31.54
1659520243.426934,31.588
1659520243.559036,31.609
1659520243.694211,31.654
1659520243.826314,31.637
1659520243.95944,31.666
1659520244.092567,31.678
1659520244.224669,31.683
1659520244.356772,31.721
1659520244.488875,31.702
1659520244.622001,31.729
1659520244.755128,31.741
1659520244.888255,31.711
1659520245.022405,31.662
1659520245.153484,31.747
1659520245.286611,31.749
1659520245.419737,31.75
1659520245.550816,31.821
1659520245.685991,31.745
1659520245.818093,31.712
1659520245.953268,31.734
1659520246.086395,31.672
1659520246.220545,31.752
1659520246.354696,31.68
1659520246.486799,31.613
1659520246.62095,31.726
1659520246.753052,31.74
1659520246.886179,31.746
1659520247.019305,31.819
1659520247.152432,31.744
1659520247.285047,31.748
1659520247.417661,31.82
1659520247.551812,31.78
1659520247.683915,31.763
1659520247.816017,31.827
1659520247.949144,31.854
1659520248.081246,31.901
1659520248.215397,31.886
1659520248.348524,31.844
1659520248.480626,31.897
1659520248.614777,31.814
1659520248.74688,31.778
1659520248.881031,31.726
1659520249.014157,31.775
1659520249.148308,31.761
1659520249.282459,31.79
1659520249.415585,31.767
1659520249.55076,31.828
1659520249.681839,31.855
1659520249.815989,31.831
1659520249.949116,31.856
1659520250.081218,31.867
1659520250.215369,31.942
1659520250.347472,31.94
1659520250.481622,31.903
1659520250.613725,31.923
1659520250.745828,31.789
1659520250.881002,31.873
1659520251.012081,31.91
1659520251.145208,31.925
1659520251.27731,32.039
1659520251.410437,31.946
1659520251.544588,31.977
1659520251.677714,31.954
1659520251.811865,31.909
1659520251.943968,31.961
1659520252.078118,31.912
1659520252.211245,31.82
1659520252.344372,31.958
1659520252.479547,31.982
1659520252.613185,31.921
1659520252.746824,31.93
1659520252.879951,31.934
1659520253.012053,31.865
1659520253.147228,31.942
1659520253.278306,31.868
1659520253.411433,31.908
1659520253.543536,31.995
1659520253.676662,31.998
1659520253.809789,32.035
1659520253.941892,31.98
1659520254.076042,31.991
1659520254.209169,31.925
1659520254.341272,31.897
1659520254.474398,31.92
1659520254.607525,31.965
1659520254.741676,31.914
1659520254.874802,31.856
1659520255.008953,31.938
1659520255.14208,31.902
1659520255.274182,31.993
1659520255.408333,31.962
1659520255.540436,31.948
1659520255.674586,32.048
1659520255.807713,31.985
1659520255.94084,31.852
1659520256.07499,31.936
1659520256.207093,31.937
1659520256.341244,31.937
1659520256.473346,31.902
1659520256.605449,31.922
1659520256.738575,31.966
1659520256.870678,31.95
1659520257.004829,31.943
1659520257.136931,32.011
1659520257.270058,32.04
1659520257.403185,32.017
1659520257.535287,32.078
1659520257.668414,31.998
1659520257.800517,31.964
1659520257.934667,32.02
1659520258.067794,31.867
1659520258.201945,32.013
1659520258.33712,32.077
1659520258.468198,32.033
1659520258.602349,32.014
1659520258.735476,32.113
1659520258.867578,32.084
1659520259.001729,32.072
1659520259.133831,32.102
1659520259.267982,32.08
1659520259.400085,32.034
1659520259.534235,31.979
1659520259.666338,32.168
1659520259.798441,32.108
1659520259.931567,32.118
1659520260.06367,32.193
1659520260.196796,32.154
1659520260.329923,32.102
1659520260.46305,32.009
1659520260.597201,32.004
1659520260.728279,32.037
1659520260.863454,32.158
1659520260.995557,32.104
1659520261.128683,32.08
1659520261.262834,32.07
1659520261.394937,32.101
1659520261.530111,32.15
1659520261.662214,32.207
1659520261.795341,32.089
1659520261.928467,32.074
1659520262.06057,32.068
1659520262.194721,32.065
1659520262.326823,32.063
1659520262.460974,32.169
1659520262.5941,32.144
1659520262.727227,32.133
1659520262.861378,32.129
1659520262.991432,32.127
1659520263.125583,32.232
1659520263.257686,32.171
1659520263.389788,32.18
1659520263.523939,32.114
1659520263.656042,32.085
1659520263.791216,32.037
1659520263.923319,32.087
1659520264.05747,32.144
1659520264.192644,32.204
1659520264.323723,32.124
1659520264.457874,32.16
1659520264.589976,32.246
1659520264.724127,32.213
