LocalTimestamp,T1
1659434667.481612,33.182
1659434667.615908,33.15
1659434667.750203,33.136
1659434667.881423,33.094
1659434668.014693,33.112
1659434668.147963,33.261
1659434668.280208,33.255
1659434668.414504,33.181
1659434668.546749,33.185
1659434668.681044,33.151
1659434668.813289,33.101
1659434668.946559,33.114
1659434669.078804,33.12
1659434669.211049,33.052
1659434669.344319,33.093
1659434669.475539,33.076
1659434669.609834,33.104
1659434669.742079,33.151
1659434669.876375,33.172
1659434670.01067,33.145
1659434670.14189,33.169
1659434670.27721,33.215
1659434670.409455,33.022
1659434670.542726,33.116
1659434670.677021,33.086
1659434670.809266,33.143
1659434670.944586,33.062
1659434671.076831,33.133
1659434671.210101,33.235
1659434671.343372,33.279
1659434671.475617,33.333
1659434671.608887,33.286
1659434671.741132,33.195
1659434671.875427,33.084
1659434672.008697,33.178
1659434672.141967,33.219
1659434672.274212,33.201
1659434672.404407,33.264
1659434672.538702,33.15
1659434672.670947,33.136
1659434672.803192,33.165
1659434672.937488,33.142
1659434673.069733,33.133
1659434673.205053,33.164
1659434673.337298,33.106
1659434673.471593,33.117
1659434673.605889,33.192
1659434673.737109,33.154
1659434673.870379,33.209
1659434674.002624,33.126
1659434674.136919,33.125
1659434674.270189,33.161
1659434674.40346,33.14
1659434674.53673,33.203
1659434674.667949,33.194
1659434674.802245,33.084
1659434674.93449,33.178
1659434675.06776,33.148
1659434675.20103,33.206
1659434675.333275,33.302
1659434675.46757,33.272
1659434675.597765,33.118
1659434675.731035,33.193
1659434675.86533,33.119
1659434675.99655,33.122
1659434676.130846,33.159
1659434676.263091,33.104
1659434676.398411,33.01
1659434676.531681,33.146
1659434676.664952,33.063
1659434676.799247,33.169
1659434676.931492,33.144
1659434677.064762,33.169
1659434677.197007,33.215
1659434677.330277,33.27
1659434677.464572,33.223
1659434677.597843,33.168
1659434677.732138,33.179
1659434677.863358,33.255
1659434677.996628,33.11
1659434678.129898,33.154
1659434678.261118,33.244
1659434678.395413,33.212
1659434678.527658,33.198
1659434678.661953,33.192
1659434678.795224,33.119
1659434678.927469,33.158
1659434679.061764,33.139
1659434679.194009,33.167
1659434679.328304,33.214
1659434679.460549,33.199
1659434679.593819,33.192
1659434679.72709,33.225
1659434679.86036,33.31
1659434679.994655,33.276
1659434680.1269,33.261
1659434680.261195,33.255
1659434680.394466,33.288
1659434680.526711,33.266
1659434680.661006,33.222
1659434680.793251,33.238
1659434680.927546,33.174
1659434681.059791,33.182
1659434681.191011,33.256
1659434681.324281,33.217
1659434681.455501,33.165
1659434681.588771,33.213
1659434681.722041,33.163
1659434681.855312,33.177
1659434681.989607,33.289
1659434682.121852,33.267
1659434682.256147,33.222
1659434682.388392,33.238
1659434682.521662,33.209
1659434682.654932,33.197
1659434682.787178,33.262
1659434682.921473,33.326
1659434683.053718,33.318
1659434683.188013,33.315
1659434683.321283,33.278
1659434683.453528,33.227
1659434683.588849,33.169
1659434683.720069,33.286
1659434683.853339,33.266
1659434683.986609,33.257
1659434684.118854,33.324
1659434684.253149,33.317
1659434684.385394,33.279
1659434684.518664,33.263
1659434684.650909,33.326
1659434684.782129,33.283
1659434684.915399,33.3
1659434685.047644,33.236
1659434685.18194,33.244
1659434685.31521,33.283
1659434685.449505,33.3
1659434685.58175,33.307
1659434685.713995,33.346
1659434685.849316,33.291
1659434685.981561,33.232
1659434686.114831,33.278
1659434686.248101,33.227
1659434686.381371,33.169
1659434686.515666,33.286
1659434686.647911,33.266
1659434686.782207,33.328
1659434686.914452,33.319
1659434687.045672,33.244
1659434687.177917,33.283
1659434687.310162,33.229
1659434687.443432,33.276
1659434687.576702,33.226
1659434687.709972,33.346
1659434687.843242,33.256
1659434687.974462,33.253
1659434688.108757,33.322
1659434688.241002,33.317
1659434688.375298,33.243
1659434688.508568,33.283
1659434688.641838,33.229
1659434688.777158,33.312
1659434688.907353,33.277
1659434689.041648,33.226
1659434689.174919,33.204
1659434689.307164,33.266
1659434689.441459,33.186
1659434689.573704,33.293
1659434689.709024,33.34
1659434689.841269,33.289
1659434689.97454,33.267
1659434690.10781,33.222
1659434690.240055,33.202
1659434690.3723,33.3
1659434690.504545,33.201
1659434690.637815,33.229
1659434690.771085,33.347
1659434690.904355,33.257
1659434691.038651,33.253
1659434691.16987,33.429
1659434691.303141,33.256
1659434691.436411,33.253
1659434691.568656,33.216
1659434691.703976,33.2
1659434691.836221,33.228
1659434691.971542,33.312
