LocalTimestamp,T1
1659440848.48639,32.719
1659440848.619688,32.878
1659440848.752987,32.912
1659440848.886285,32.997
1659440849.019584,33.034
1659440849.150832,32.944
1659440849.285156,32.905
1659440849.417429,32.817
1659440849.549702,32.85
1659440849.684026,32.864
1659440849.816299,32.87
1659440849.950624,32.944
1659440850.082897,32.905
1659440850.214144,32.923
1659440850.349494,33.038
1659440850.480742,33.087
1659440850.613015,32.931
1659440850.746314,32.864
1659440850.879612,32.906
1659440851.013936,32.924
1659440851.147235,32.896
1659440851.281559,32.92
1659440851.412807,33.001
1659440851.547131,33.071
1659440851.680429,33.102
1659440851.813728,33.009
1659440851.948052,33.004
1659440852.0793,33.002
1659440852.213624,32.93
1659440852.345897,32.97
1659440852.47817,32.916
1659440852.613519,32.964
1659440852.744767,33.02
1659440852.878066,33.044
1659440853.010339,33.09
1659440853.142612,33.003
1659440853.276936,33.001
1659440853.409209,33.001
1659440853.543533,32.929
1659440853.676832,33.076
1659440853.809105,33.104
1659440853.941379,33.116
1659440854.074677,33.156
1659440854.209001,33.068
1659440854.3423,33.029
1659440854.476624,33.084
1659440854.609922,33.036
1659440854.74117,33.016
1659440854.876519,33.184
1659440855.008793,33.115
1659440855.143117,33.085
1659440855.276415,33.108
1659440855.409714,33.011
1659440855.544038,33.04
1659440855.676311,33.088
1659440855.810635,33.109
1659440855.942908,33.118
1659440856.074156,33.016
1659440856.207455,33.078
1659440856.339728,33.034
1659440856.473027,32.979
1659440856.606325,33.062
1659440856.740649,33.098
1659440856.873948,33.042
1659440857.006221,33.089
1659440857.139519,33.145
1659440857.271793,33.205
1659440857.406117,33.195
1659440857.539415,33.226
1659440857.672714,33.169
1659440857.808063,33.108
1659440857.939311,33.118
1659440858.07261,33.051
1659440858.205908,33.164
1659440858.338181,33.177
1659440858.472506,33.219
1659440858.604779,33.201
1659440858.739103,33.229
1659440858.871376,33.099
1659440859.003649,33.114
1659440859.136948,33.085
1659440859.269221,33.143
1659440859.401494,33.168
