LocalTimestamp,T1
1659434366.114731,32.916
1659434366.246975,33.035
1659434366.382296,33.05
1659434366.513516,32.951
1659434366.646786,33.121
1659434366.779031,33.052
1659434366.912301,33.129
1659434367.046597,33.02
1659434367.178842,33.08
1659434367.313137,33.105
1659434367.445382,33.01
1659434367.576602,32.969
1659434367.708847,33.022
1659434367.841092,32.974
1659434367.975387,32.953
1659434368.108657,33.015
1659434368.242952,33.007
1659434368.376223,33.074
1659434368.508468,33.032
1659434368.642763,33.049
1659434368.775008,33.021
1659434368.909303,33.08
1659434369.042573,32.964
1659434369.175843,32.949
1659434369.311164,33.084
1659434369.441359,33.072
1659434369.575654,33.067
1659434369.708924,33.135
1659434369.841169,33.129
1659434369.974439,33.056
1659434370.106684,33.131
1659434370.24098,33.021
1659434370.37425,32.938
1659434370.50752,33.009
1659434370.64079,32.968
1659434370.773035,32.986
1659434370.906305,33.136
1659434371.03855,33.13
1659434371.172846,33.162
1659434371.306116,33.141
1659434371.440411,33.132
1659434371.574706,33.057
1659434371.705926,33.096
1659434371.839196,33.006
1659434371.972466,33.073
1659434372.104712,33.103
1659434372.240032,33.115
1659434372.372277,33.085
1659434372.507597,33.108
1659434372.639843,33.118
1659434372.773113,33.122
1659434372.906383,33.159
1659434373.038628,33.246
1659434373.171898,33.213
1659434373.303118,33.163
1659434373.436388,33.177
1659434373.568633,33.077
1659434373.701903,33.069
1659434373.836198,33.101
1659434373.967418,33.114
1659434374.102739,33.12
1659434374.234984,33.158
1659434374.367229,33.139
1659434374.502549,33.202
1659434374.634794,33.158
1659434374.770115,33.069
1659434374.903385,33.101
1659434375.036655,33.15
1659434375.169925,33.136
1659434375.301145,33.13
1659434375.43544,33.198
1659434375.567685,33.227
1659434375.701981,33.205
1659434375.835251,33.195
1659434375.968521,33.155
1659434376.101791,33.209
1659434376.231986,33.126
1659434376.366281,33.161
1659434376.498526,33.176
1659434376.630771,33.005
1659434376.764041,33.109
1659434376.896286,33.118
1659434377.030581,33.122
1659434377.162827,33.159
1659434377.296097,33.069
1659434377.431417,33.136
1659434377.562637,33.13
1659434377.695907,33.092
1659434377.828152,33.181
1659434377.962447,33.149
1659434378.096743,33.065
1659434378.230013,33.17
1659434378.364308,33.215
1659434378.495528,33.2
1659434378.628798,33.193
1659434378.761043,33.225
1659434378.894313,33.204
1659434379.028609,33.159
1659434379.160854,33.104
1659434379.295149,33.152
1659434379.425344,33.066
1659434379.557589,33.17
1659434379.691884,33.18
1659434379.823104,33.149
1659434379.956374,33.206
1659434380.088619,33.267
1659434380.222914,33.186
1659434380.356184,33.151
1659434380.489455,33.136
1659434380.62375,33.13
1659434380.755995,33.127
1659434380.889265,33.232
1659434381.02151,33.242
1659434381.15478,33.176
1659434381.289076,33.253
1659434381.423371,33.322
1659434381.557666,33.246
1659434381.690424,33.177
1659434381.823181,33.254
1659434381.955939,33.216
1659434382.088697,33.235
1659434382.222992,33.173
1659434382.355237,33.11
1659434382.488507,33.154
1659434382.621777,33.244
1659434382.752997,33.212
1659434382.887292,33.234
1659434383.019537,33.278
1659434383.152807,33.156
1659434383.285053,33.209
1659434383.418323,33.232
1659434383.551593,33.207
1659434383.684863,33.196
1659434383.819158,33.262
1659434383.952429,33.255
