LocalTimestamp,PR
1659429748.900355,169195
1659429748.938609,168934
1659429748.976863,168696
1659429749.015118,168457
1659429749.057642,168386
1659429749.100165,168325
1659429749.138761,168460
1659429749.177357,168557
1659429749.215953,168601
1659429749.25694,168621
1659429749.297926,168620
1659429749.343012,168607
1659429749.388097,168686
1659429749.433183,168593
1659429749.466997,168551
1659429749.500811,168605
1659429749.544872,168575
1659429749.588933,167787
1659429749.632993,167405
1659429749.666807,167317
1659429749.700621,167133
1659429749.745024,166979
1659429749.789426,166813
1659429749.833828,166597
1659429749.872083,166512
1659429749.910337,166421
1659429749.948591,166329
1659429749.991115,166274
1659429750.033639,166237
1659429750.072576,166206
1659429750.111514,166240
1659429750.150451,166223
1659429750.188705,166129
1659429750.22696,166013
1659429750.265214,165844
1659429750.306201,165689
1659429750.347188,165581
1659429750.386467,165532
1659429750.425746,165476
1659429750.465025,165414
1659429750.507036,165393
1659429750.549047,165358
1659429750.587985,165362
1659429750.626922,165356
1659429750.66586,165351
1659429750.707871,165347
1659429750.749883,165334
1659429750.78882,165364
1659429750.827758,165383
1659429750.866695,165374
1659429750.908706,165360
1659429750.950718,165368
1659429750.989314,165394
1659429751.02791,165413
1659429751.066505,165418
1659429751.108005,165376
1659429751.149504,165344
1659429751.191003,165286
1659429751.232502,165211
1659429751.271098,165161
1659429751.309694,165142
1659429751.348289,165098
1659429751.389276,165066
1659429751.430263,165035
1659429751.4692,164999
1659429751.508138,165004
1659429751.547075,164998
1659429751.591136,164981
1659429751.635197,164997
1659429751.679258,165035
1659429751.713584,165092
1659429751.74791,165093
1659429751.791971,165074
1659429751.836032,165039
1659429751.880093,164944
1659429751.91903,164831
1659429751.957968,164757
1659429751.996905,164720
1659429752.037892,164698
1659429752.078879,164663
1659429752.117816,164613
1659429752.156754,164600
1659429752.195691,164567
1659429752.23719,164556
1659429752.278689,164493
1659429752.317968,164411
1659429752.357247,164354
1659429752.396526,164294
1659429752.43478,164273
1659429752.473035,164283
1659429752.511289,164294
1659429752.552788,164268
1659429752.594287,164229
1659429752.634249,164174
1659429752.674212,164086
1659429752.714174,164059
1659429752.755673,164023
1659429752.797172,163962
1659429752.835426,163923
1659429752.87368,163885
1659429752.911935,163857
1659429752.954458,163816
1659429752.996982,163748
1659429753.036261,163714
1659429753.07554,163702
1659429753.114819,163714
1659429753.155293,163721
1659429753.195768,163737
1659429753.234705,163713
1659429753.273643,163682
1659429753.31258,163642
1659429753.354079,163634
1659429753.395579,163560
1659429753.434516,163484
1659429753.473453,163455
1659429753.512391,163465
1659429753.557135,163506
1659429753.601879,163494
1659429753.646622,163463
1659429753.688122,163467
1659429753.729621,163471
1659429753.767875,163481
1659429753.806129,163478
1659429753.844384,163464
1659429753.883663,163466
1659429753.922942,163483
1659429753.962221,163511
1659429754.004744,163529
1659429754.047268,163499
1659429754.085522,163501
1659429754.123777,163468
1659429754.162031,163391
1659429754.204042,163322
1659429754.246054,163312
1659429754.28465,163323
1659429754.323246,163360
1659429754.361841,163416
1659429754.400096,163409
1659429754.43835,163404
1659429754.476604,163419
1659429754.518104,163410
1659429754.559603,163368
1659429754.59854,163312
1659429754.637478,163291
1659429754.676415,163267
1659429754.716889,163286
1659429754.757364,163284
1659429754.796301,163274
1659429754.835239,163276
1659429754.874176,163213
1659429754.9167,163187
1659429754.959224,163178
1659429754.998161,163195
1659429755.037098,163232
1659429755.076036,163235
1659429755.117023,163236
1659429755.15801,163220
1659429755.202753,163189
1659429755.247497,163187
1659429755.292241,163226
1659429755.330495,163228
1659429755.36875,163249
1659429755.407004,163283
1659429755.449016,163314
1659429755.491027,163338
1659429755.529964,163367
1659429755.568902,163353
1659429755.607839,163318
1659429755.646435,163304
1659429755.685031,163303
1659429755.723627,163349
1659429755.764101,163358
1659429755.804576,163350
1659429755.843855,163350
1659429755.883134,163313
1659429755.922413,163301
1659429755.964424,163304
1659429756.006436,163309
1659429756.045373,163269
1659429756.084311,163249
1659429756.123248,163224
1659429756.162185,163205
1659429756.201123,163229
1659429756.24006,163214
1659429756.282584,163171
1659429756.325108,163158
1659429756.364865,163127
1659429756.404622,163114
1659429756.444379,163095
1659429756.484136,163059
1659429756.523894,163033
1659429756.565392,163009
1659429756.606892,162976
1659429756.645488,162990
1659429756.684083,163043
1659429756.722679,163121
1659429756.764691,163147
1659429756.806702,163147
1659429756.84564,163169
1659429756.884577,163166
1659429756.923514,163200
1659429756.964501,163193
1659429757.005488,163179
1659429757.043742,163123
1659429757.081997,163097
1659429757.120251,163092
1659429757.164995,163106
1659429757.209739,163087
1659429757.254483,163076
1659429757.288297,163054
1659429757.322111,162975
1659429757.366172,162933
1659429757.410232,162923
1659429757.454293,162925
1659429757.495792,162947
1659429757.537291,162961
1659429757.574692,162963
1659429757.612092,162952
1659429757.649493,162942
1659429757.686893,162901
1659429757.728392,162840
1659429757.769891,162778
1659429757.808829,162746
1659429757.847766,162765
1659429757.886703,162781
1659429757.924958,162809
1659429757.963212,162866
1659429758.001467,162899
1659429758.041941,162946
1659429758.082415,162981
1659429758.124939,163004
1659429758.167463,163028
1659429758.2064,163083
1659429758.245338,163102
1659429758.284275,163133
1659429758.328336,163174
