LocalTimestamp,PR
1659521445.78391,177416
1659521445.825897,177384
1659521445.867882,177441
1659521445.906455,177580
1659521445.945028,177501
1659521445.9836,177404
1659521446.022856,177406
1659521446.062111,177263
1659521446.101366,177262
1659521446.14284,177138
1659521446.184314,176896
1659521446.222546,176662
1659521446.260777,176415
1659521446.299008,176305
1659521446.338264,176356
1659521446.377519,176449
1659521446.416774,176548
1659521446.45876,176653
1659521446.500746,176803
1659521446.538636,176702
1659521446.576526,176752
1659521446.614416,176783
1659521446.656402,176870
1659521446.698388,176743
1659521446.736961,176551
1659521446.775533,176436
1659521446.814106,176287
1659521446.85558,176144
1659521446.897054,176009
1659521446.936651,175843
1659521446.976247,175643
1659521447.015844,175408
1659521447.056806,175156
1659521447.097768,174947
1659521447.13873,175057
1659521447.179692,175052
1659521447.220654,175184
1659521447.261616,175319
1659521447.302578,175402
1659521447.34354,175493
1659521447.384502,175585
1659521447.424236,175806
1659521447.463969,176084
1659521447.503702,175857
1659521447.543435,175729
1659521447.583168,175574
1659521447.623106,175493
1659521447.663044,175449
1659521447.702982,175366
1659521447.74292,175331
1659521447.782858,175370
1659521447.826551,175554
1659521447.870244,175425
1659521447.913937,175375
1659521447.953192,175284
1659521447.992448,175250
1659521448.031703,175221
1659521448.070275,175122
1659521448.108848,175017
1659521448.147421,174896
1659521448.189407,174826
1659521448.231393,174803
1659521448.270648,174823
1659521448.309903,174788
1659521448.349159,174726
1659521448.390633,174627
1659521448.432107,174531
1659521448.47068,174396
1659521448.509252,174291
1659521448.547825,174240
1659521448.590323,174202
1659521448.632821,174157
1659521448.671393,174149
1659521448.709966,174136
1659521448.748539,174120
1659521448.78677,174119
1659521448.825001,174191
1659521448.863232,174184
1659521448.904194,174128
1659521448.945157,174068
1659521448.984412,173975
1659521449.023667,173890
1659521449.062922,173933
1659521449.103884,173992
1659521449.144846,173965
1659521449.18376,173990
1659521449.222674,174040
1659521449.261588,174004
1659521449.303062,173892
1659521449.344537,173766
1659521449.388912,173622
1659521449.433288,173530
1659521449.477663,173562
1659521449.515297,173746
1659521449.552931,173832
1659521449.590565,173764
1659521449.628199,173658
1659521449.667113,173650
1659521449.706027,173711
1659521449.744941,173740
1659521449.788633,173727
1659521449.832326,173715
1659521449.876019,173691
1659521449.909813,173657
1659521449.943606,173609
1659521449.987641,173631
1659521450.031675,173599
1659521450.075709,173570
1659521450.116671,173495
1659521450.157633,173398
1659521450.196888,173328
1659521450.236144,173272
1659521450.275399,173245
1659521450.314996,173260
1659521450.354592,173299
1659521450.394189,173323
1659521450.435663,173330
1659521450.477137,173329
1659521450.516051,173343
1659521450.554965,173390
1659521450.593879,173405
1659521450.636377,173368
1659521450.678875,173340
1659521450.717789,173329
1659521450.756703,173328
1659521450.795617,173334
1659521450.834531,173309
1659521450.873445,173258
1659521450.912359,173169
1659521450.954345,173026
1659521450.996331,172976
1659521451.034221,172961
1659521451.072111,172951
1659521451.110001,172945
1659521451.151987,172966
1659521451.193973,172974
1659521451.233228,172967
1659521451.272484,172947
1659521451.311739,172921
1659521451.352189,172918
1659521451.392639,172928
1659521451.431553,172939
1659521451.470467,172952
1659521451.509381,172972
1659521451.554098,172953
1659521451.598814,172972
1659521451.643532,172975
1659521451.685005,172978
1659521451.72648,172974
1659521451.764711,172959
1659521451.802942,172876
1659521451.841173,172755
1659521451.883672,172716
1659521451.92617,172673
1659521451.964401,172634
1659521452.002632,172617
1659521452.040863,172715
1659521452.079095,172881
1659521452.117326,172932
1659521452.155557,172883
1659521452.198055,172865
1659521452.240553,172886
1659521452.278785,172889
1659521452.317016,172911
1659521452.355247,172840
1659521452.393478,172763
1659521452.43171,172693
1659521452.469941,172653
1659521452.511927,172707
1659521452.553913,172758
1659521452.592486,172800
1659521452.631058,172826
1659521452.669631,172880
1659521452.711617,172898
1659521452.753603,172889
1659521452.792858,172912
1659521452.832114,172901
1659521452.871369,172877
1659521452.913355,172859
1659521452.955341,172862
1659521452.993572,172870
1659521453.031804,172841
1659521453.070035,172772
1659521453.112533,172660
1659521453.155031,172609
1659521453.199407,172645
1659521453.243782,172690
1659521453.288158,172730
