LocalTimestamp,PR
1659514698.657988,169817
1659514698.699509,169814
1659514698.741031,169905
1659514698.779648,170147
1659514698.818264,170248
1659514698.856881,170317
1659514698.89789,170240
1659514698.938899,170406
1659514698.977174,170521
1659514699.015449,170800
1659514699.053724,171069
1659514699.095758,170937
1659514699.137792,170806
1659514699.177092,170834
1659514699.216392,170803
1659514699.255692,170624
1659514699.296701,170383
1659514699.33771,170079
1659514699.376327,169774
1659514699.414944,169622
1659514699.45356,169535
1659514699.498328,169567
1659514699.543097,169573
1659514699.587865,169572
1659514699.629899,169627
1659514699.671933,169761
1659514699.71055,169914
1659514699.749166,170002
1659514699.787783,170107
1659514699.829304,170171
1659514699.870826,170049
1659514699.909443,169896
1659514699.94806,169894
1659514699.986676,169883
1659514700.024951,169896
1659514700.063226,170091
1659514700.101501,170416
1659514700.144048,170922
1659514700.186594,170946
1659514700.225553,170779
1659514700.264511,170508
1659514700.30347,170242
1659514700.344991,170105
1659514700.386513,170083
1659514700.425813,170071
1659514700.465113,170347
1659514700.504414,171068
1659514700.544602,171255
1659514700.584791,171498
1659514700.62498,172167
1659514700.665168,172865
1659514700.705357,173066
1659514700.746366,173152
1659514700.787375,173224
1659514700.826333,173091
1659514700.865292,172990
1659514700.90425,172977
1659514700.942867,172800
1659514700.981484,172626
1659514701.0201,172494
1659514701.062135,172357
1659514701.104169,172255
1659514701.145178,172239
1659514701.186187,172332
1659514701.225145,172365
1659514701.264103,172287
1659514701.303062,172280
1659514701.347147,172317
1659514701.391231,172200
1659514701.435316,171963
1659514701.469661,171612
1659514701.504005,170978
1659514701.54809,170227
1659514701.592175,169981
1659514701.636259,170107
1659514701.669066,170214
1659514701.701873,170245
1659514701.745958,170342
1659514701.790042,170500
1659514701.834127,170724
1659514701.873085,170896
1659514701.912044,171027
1659514701.951002,171141
1659514701.992524,171134
1659514702.034045,170958
1659514702.072662,170748
1659514702.111279,170731
1659514702.149896,170691
1659514702.188512,170733
1659514702.227129,170821
1659514702.265746,171069
1659514702.306242,171191
1659514702.346738,171441
1659514702.386039,171652
1659514702.425339,171555
1659514702.464639,171473
1659514702.506673,171612
1659514702.548707,171802
1659514702.586982,172043
1659514702.625257,172151
1659514702.663532,172207
1659514702.705566,172206
1659514702.7476,172180
1659514702.786901,172091
1659514702.826201,171996
1659514702.865501,171853
1659514702.90651,171790
1659514702.947519,171842
1659514702.986135,171891
1659514703.024752,172028
1659514703.063369,172215
1659514703.108137,172498
1659514703.152905,172700
1659514703.197673,172822
1659514703.23048,172962
1659514703.263287,172903
1659514703.307714,172860
1659514703.35214,172885
1659514703.396566,172992
1659514703.4386,173267
1659514703.480634,173439
1659514703.519251,173369
1659514703.557868,173341
1659514703.596485,173155
1659514703.635443,172849
1659514703.674402,172709
1659514703.71336,172626
1659514703.755907,172544
1659514703.798453,172559
1659514703.83707,172511
1659514703.875687,172383
1659514703.914304,172380
1659514703.956338,172346
1659514703.998372,172231
1659514704.036988,171978
1659514704.075605,171623
