LocalTimestamp,PR
1659431978.873688,166996
1659431978.912985,167005
1659431978.952282,167018
1659431978.991579,167014
1659431979.032584,167020
1659431979.07359,166981
1659431979.112203,166978
1659431979.150816,167018
1659431979.18943,167046
1659431979.231973,167051
1659431979.274516,167033
1659431979.313812,167013
1659431979.353109,166969
1659431979.392406,166954
1659431979.433924,166933
1659431979.475442,166900
1659431979.51696,166865
1659431979.558478,166818
1659431979.599996,166805
1659431979.641514,166796
1659431979.682519,166789
1659431979.723525,166793
1659431979.762821,166814
1659431979.802118,166836
1659431979.841415,166839
1659431979.88037,166844
1659431979.919325,166793
1659431979.95828,166747
1659431979.999798,166730
1659431980.041316,166738
1659431980.079246,166786
1659431980.117176,166934
1659431980.155106,167091
1659431980.198162,167210
1659431980.241217,167350
1659431980.280172,167846
1659431980.319128,168102
1659431980.358083,168166
1659431980.396696,168278
1659431980.435309,168383
1659431980.473923,168380
1659431980.519029,168292
1659431980.564135,168175
1659431980.60924,168023
1659431980.647854,167948
1659431980.686467,167914
1659431980.72508,167893
1659431980.764036,167849
1659431980.802991,167774
1659431980.841946,167700
1659431980.883464,167622
1659431980.924982,167546
1659431980.963595,167453
1659431981.002208,167446
1659431981.040822,167469
1659431981.079093,167493
1659431981.117365,167464
1659431981.155637,167442
1659431981.197155,167384
1659431981.238673,167276
1659431981.279166,167211
1659431981.319658,167176
1659431981.358613,167123
1659431981.397568,167087
1659431981.436524,167102
1659431981.478554,167133
1659431981.520585,167190
1659431981.55954,167240
1659431981.598495,167249
1659431981.63745,167205
1659431981.681531,167183
1659431981.725611,167187
1659431981.769692,167141
1659431981.809331,167093
1659431981.848969,167083
1659431981.888608,167066
1659431981.926879,167023
1659431981.965151,166970
1659431982.003423,166919
1659431982.042036,166897
1659431982.08065,166902
1659431982.119263,166896
1659431982.161806,166909
1659431982.204349,166912
1659431982.242963,166895
1659431982.281576,166899
1659431982.320189,166916
1659431982.360682,166913
1659431982.401175,166927
1659431982.440472,166910
1659431982.479769,166841
1659431982.519065,166821
1659431982.563488,166810
1659431982.60791,166810
1659431982.652333,166828
1659431982.694876,166833
1659431982.737419,166829
1659431982.776374,166839
1659431982.815329,166839
1659431982.854284,166823
1659431982.895802,166843
1659431982.93732,166822
1659431982.975592,166837
1659431983.013863,166811
1659431983.052135,166774
1659431983.091774,166790
1659431983.131412,166798
1659431983.171051,166809
1659431983.212056,166818
1659431983.253061,166840
1659431983.291675,166823
1659431983.330288,166804
1659431983.368901,166744
1659431983.409907,166739
1659431983.450912,166801
1659431983.490551,166838
1659431983.530189,166850
1659431983.569828,166856
1659431983.608441,166866
1659431983.647055,166865
1659431983.685668,166939
1659431983.727186,166999
1659431983.768704,167058
