LocalTimestamp,PR
1659514493.985645,158775
1659514494.024945,158693
1659514494.064246,158562
1659514494.103546,158545
1659514494.14558,158545
1659514494.187614,158545
1659514494.226231,158537
1659514494.264848,158520
1659514494.303464,158569
1659514494.345499,158657
1659514494.387533,158745
1659514494.426491,158791
1659514494.46545,158878
1659514494.504408,158956
1659514494.544904,159011
1659514494.585401,159014
1659514494.629827,159044
1659514494.674253,159082
1659514494.718679,159138
1659514494.757638,159194
1659514494.796596,159254
1659514494.835555,159310
1659514494.877076,159364
1659514494.918598,159380
1659514494.957556,159370
1659514494.996515,159394
1659514495.035473,159403
1659514495.077507,159420
1659514495.119541,159445
1659514495.158158,159429
1659514495.196775,159395
1659514495.235392,159412
1659514495.274692,159478
1659514495.313992,159517
1659514495.353292,159691
1659514495.395326,159973
1659514495.437361,160206
1659514495.475636,160232
1659514495.51391,160155
1659514495.552185,160000
1659514495.59046,159792
1659514495.628735,159645
1659514495.66701,159565
1659514495.708532,159521
1659514495.750053,159492
1659514495.789627,159442
1659514495.829201,159385
1659514495.868774,159339
1659514495.908348,159338
1659514495.947921,159323
1659514495.98893,159357
1659514496.029939,159369
1659514496.069581,159388
1659514496.109223,159423
1659514496.148865,159431
1659514496.190386,159446
1659514496.231908,159467
1659514496.270525,159475
1659514496.309141,159439
1659514496.347758,159411
1659514496.392526,159362
1659514496.437294,159401
1659514496.482062,159462
1659514496.515894,159441
1659514496.549727,158843
1659514496.594495,157889
1659514496.639263,157401
1659514496.684031,157356
1659514496.72299,157451
1659514496.761948,157700
1659514496.800906,158159
1659514496.841403,158708
1659514496.881899,159220
1659514496.920516,159396
1659514496.959132,159515
1659514496.997749,159556
1659514497.037049,159525
1659514497.076349,159544
1659514497.11565,159587
1659514497.157171,159655
1659514497.198693,159686
1659514497.237309,159720
1659514497.275926,159702
1659514497.314543,159634
1659514497.35709,159685
1659514497.399636,159864
1659514497.438253,160027
1659514497.47687,160207
1659514497.515486,160368
1659514497.557008,160377
1659514497.598529,160281
1659514497.638171,160194
1659514497.677813,160183
1659514497.717455,160197
1659514497.758464,160215
1659514497.799473,160216
1659514497.837748,160209
1659514497.876023,160172
1659514497.914298,160106
1659514497.959066,160091
1659514498.003834,160074
1659514498.048602,159772
1659514498.081922,158663
1659514498.115242,158141
1659514498.158984,158064
1659514498.202727,158318
1659514498.24647,158660
1659514498.288504,159080
1659514498.330538,159352
1659514498.369497,159421
1659514498.408455,159431
1659514498.447414,159400
1659514498.485689,159464
1659514498.523964,159650
1659514498.562239,159755
1659514498.604785,159801
1659514498.647332,159838
1659514498.686291,159870
1659514498.725249,159866
1659514498.764207,159816
1659514498.802482,159180
1659514498.840757,158558
1659514498.879032,158488
1659514498.920554,158767
1659514498.962075,159097
1659514499.001034,159359
1659514499.039992,159535
1659514499.078951,159578
1659514499.119447,159555
1659514499.159943,159539
1659514499.198902,159554
1659514499.23786,159557
1659514499.276819,159595
1659514499.31834,159608
1659514499.359862,159640
1659514499.39882,159685
1659514499.437779,159683
1659514499.476737,159238
1659514499.521847,158375
1659514499.566957,158156
1659514499.612067,158298
1659514499.653588,158514
1659514499.695109,158798
1659514499.733726,159108
1659514499.772343,159217
1659514499.81096,159226
1659514499.852994,159242
1659514499.895028,159288
1659514499.93467,159339
1659514499.974312,159379
1659514500.013954,159431
1659514500.052229,159462
1659514500.090504,159503
1659514500.128778,159542
1659514500.169787,159208
1659514500.210796,158088
1659514500.249755,157422
1659514500.288713,157470
1659514500.327672,157793
1659514500.369706,158198
1659514500.41174,158790
1659514500.450357,159222
1659514500.488973,159399
1659514500.52759,159493
1659514500.56689,159620
1659514500.60619,159702
1659514500.645491,159776
1659514500.685474,159855
1659514500.725458,159902
1659514500.765442,159916
1659514500.805425,159968
1659514500.845409,160072
1659514500.887443,160115
1659514500.929477,159994
1659514500.971511,159592
1659514501.013546,159035
1659514501.054042,158653
1659514501.094538,158334
1659514501.133838,158212
1659514501.173139,158331
1659514501.212439,158318
1659514501.253448,158283
1659514501.294456,158367
1659514501.333073,158579
1659514501.37169,158882
1659514501.410307,159125
1659514501.44824,159260
1659514501.486173,159358
1659514501.524106,159411
1659514501.566653,159450
1659514501.6092,159269
1659514501.647817,158027
1659514501.686433,156953
1659514501.72505,156796
1659514501.766059,156845
1659514501.807068,156972
1659514501.851836,157270
1659514501.896604,157665
1659514501.941372,157862
1659514501.980672,157853
1659514502.019972,157838
1659514502.059273,157948
1659514502.100794,158151
1659514502.142316,158380
1659514502.181274,158574
1659514502.220232,158654
1659514502.259191,158686
1659514502.3002,158768
1659514502.341209,158854
1659514502.379142,158880
1659514502.417075,158102
1659514502.455009,156938
1659514502.494308,156730
1659514502.533609,156841
1659514502.572909,157012
1659514502.614943,157285
1659514502.656977,157742
1659514502.694911,158054
1659514502.732844,158078
1659514502.770777,158036
1659514502.813324,158110
1659514502.85587,158251
1659514502.894829,158408
1659514502.933787,158548
1659514502.972746,158658
1659514503.011704,158717
1659514503.050663,158788
1659514503.089621,158884
1659514503.131655,159006
1659514503.173689,158965
1659514503.212648,157971
1659514503.251606,156959
1659514503.290565,156888
1659514503.331061,157040
1659514503.371557,157286
1659514503.416325,157679
1659514503.461093,157989
1659514503.505862,157982
1659514503.539694,157882
1659514503.573526,157864
1659514503.617269,157966
1659514503.661012,158158
1659514503.704755,158341
1659514503.737562,158517
1659514503.770369,158616
1659514503.815479,158709
1659514503.860588,158787
1659514503.905698,158874
1659514503.943973,158996
1659514503.982248,158844
1659514504.020523,157700
1659514504.06307,156832
1659514504.105617,156824
1659514504.144575,156977
1659514504.183533,157201
1659514504.222492,157530
1659514504.261109,157825
1659514504.299725,157894
1659514504.338342,157945
1659514504.378838,158106
1659514504.419335,158374
1659514504.458977,158641
1659514504.498619,158855
1659514504.53826,159025
1659514504.578757,159128
1659514504.619253,159192
1659514504.65787,159266
1659514504.696486,159325
1659514504.735103,159384
1659514504.776112,159286
1659514504.817121,158240
1659514504.85608,157423
1659514504.895038,157263
1659514504.933996,157418
1659514504.975005,157606
1659514505.016014,157936
1659514505.054973,158327
1659514505.093931,158511
1659514505.13289,158509
1659514505.177316,158574
1659514505.221742,158751
1659514505.266168,158956
1659514505.300001,159128
1659514505.333833,159254
1659514505.378601,159333
1659514505.423369,159378
1659514505.468137,159456
1659514505.506754,159494
1659514505.545371,159536
1659514505.583987,159578
1659514505.624484,159567
1659514505.66498,158839
1659514505.703938,158033
1659514505.742897,157851
1659514505.781855,157990
1659514505.823889,158264
1659514505.865924,158652
1659514505.902832,159070
1659514505.93974,159236
1659514505.976648,159226
1659514506.013556,159152
1659514506.058324,159178
1659514506.103092,159284
1659514506.14786,159386
1659514506.182205,159464
1659514506.21655,159503
1659514506.260634,159536
1659514506.304719,159579
1659514506.348804,159614
1659514506.388104,159663
1659514506.427404,159718
1659514506.466704,159767
1659514506.508225,159748
1659514506.549747,159611
1659514506.589047,159656
1659514506.628347,159853
1659514506.667648,160038
1659514506.708657,160136
1659514506.749665,160183
1659514506.788624,160172
1659514506.827582,160131
1659514506.866541,160088
1659514506.904474,160027
1659514506.942407,160006
1659514506.98034,160008
1659514507.022887,160014
1659514507.065434,160018
1659514507.104392,160042
1659514507.143351,160046
1659514507.182309,160048
