LocalTimestamp,PG
1659514912.339985,15494
1659514912.385095,15638
1659514912.430205,15656
1659514912.475315,15713
1659514912.507609,15765
1659514912.539904,15786
1659514912.583988,15795
1659514912.628073,15800
1659514912.672158,15803
1659514912.711458,15780
1659514912.750758,15796
1659514912.790058,15827
1659514912.832092,15873
1659514912.874126,15935
1659514912.912743,16006
1659514912.95136,15561
1659514912.989977,14709
1659514913.031498,13910
1659514913.07302,13111
1659514913.111636,12830
1659514913.150253,11858
1659514913.18887,10631
1659514913.227828,10014
1659514913.266787,9634
1659514913.305745,9693
1659514913.347779,9772
1659514913.389813,9852
1659514913.42843,9911
1659514913.467047,9968
1659514913.505663,10018
1659514913.547185,10055
1659514913.588706,10097
1659514913.628007,10129
1659514913.667307,10143
1659514913.706607,10175
1659514913.747616,10224
1659514913.788625,10240
1659514913.8269,10260
1659514913.865175,10302
1659514913.90345,10318
1659514913.947876,10337
1659514913.992302,10357
1659514914.036729,10394
1659514914.070048,10439
1659514914.103368,10458
1659514914.147453,10467
1659514914.191537,10472
1659514914.235622,10481
1659514914.27458,10498
1659514914.313539,10505
1659514914.352497,10512
1659514914.394019,10529
1659514914.43554,10543
1659514914.474157,10545
1659514914.512774,10573
1659514914.55139,10561
1659514914.593425,10564
1659514914.635459,10573
1659514914.674417,10583
1659514914.713376,10603
1659514914.752334,10599
1659514914.790951,10624
1659514914.829567,10647
1659514914.868184,10674
1659514914.90868,10697
1659514914.949177,10733
1659514914.988135,10786
1659514915.027094,10825
1659514915.066052,10840
1659514915.108086,10859
1659514915.15012,10871
1659514915.188395,10907
1659514915.22667,10962
1659514915.264945,11015
1659514915.306467,11058
1659514915.347988,11095
1659514915.387289,11107
1659514915.426589,11124
1659514915.465889,11125
1659514915.507923,11112
1659514915.549957,11136
1659514915.594725,11149
1659514915.639493,11176
1659514915.684261,11199
1659514915.72322,11227
1659514915.762178,11246
1659514915.801136,11256
1659514915.842658,11256
1659514915.88418,11259
1659514915.923138,11274
1659514915.962096,11290
1659514916.001055,11292
1659514916.043089,11302
1659514916.085123,11288
1659514916.123398,11302
1659514916.161673,11309
1659514916.199948,11318
1659514916.238907,11324
1659514916.277865,11349
1659514916.316823,11366
1659514916.355098,11365
1659514916.393373,11369
1659514916.431648,11368
1659514916.476075,11366
1659514916.520501,11370
1659514916.564927,11387
1659514916.59876,11380
1659514916.632592,11380
1659514916.677018,11348
1659514916.721445,11337
1659514916.765871,11348
1659514916.798166,11335
1659514916.83046,11334
1659514916.87557,11334
1659514916.92068,11323
1659514916.965789,11294
1659514917.004064,11271
1659514917.042339,11258
1659514917.080614,11260
1659514917.122136,11278
1659514917.163657,11287
1659514917.202616,11286
1659514917.241574,11281
1659514917.280533,11283
1659514917.318808,11286
1659514917.357083,11299
1659514917.395358,11303
1659514917.435854,11287
1659514917.47635,11269
1659514917.51565,11252
1659514917.55495,11250
1659514917.594251,11243
1659514917.636285,11216
1659514917.678319,11216
1659514917.716936,11196
1659514917.755552,11204
1659514917.794169,11236
1659514917.835691,11262
1659514917.877212,11268
1659514917.916512,11255
1659514917.955812,11248
1659514917.995113,11235
1659514918.036634,11249
1659514918.078156,11245
1659514918.117114,11264
1659514918.156073,11304
1659514918.195031,11304
1659514918.239457,11306
1659514918.283884,11290
1659514918.32831,11258
1659514918.360605,11233
1659514918.392899,11248
1659514918.437325,11244
1659514918.481752,11265
1659514918.526178,11283
1659514918.568725,11287
1659514918.611271,11295
1659514918.649546,11296
1659514918.687821,11298
1659514918.726096,11283
1659514918.765397,11261
1659514918.804697,11264
1659514918.843997,11257
1659514918.886031,11268
1659514918.928065,11271
1659514918.967024,11284
1659514919.005982,11276
1659514919.04494,11274
1659514919.086462,11288
1659514919.127984,11307
1659514919.167284,11314
1659514919.206584,11318
1659514919.245884,11318
1659514919.284501,11315
1659514919.323117,11328
1659514919.361734,11327
1659514919.402743,11338
1659514919.443752,11350
1659514919.483052,11354
1659514919.522352,11364
1659514919.561653,11359
1659514919.603174,11361
1659514919.644696,11358
1659514919.682971,11368
1659514919.721246,11375
1659514919.759521,11383
1659514919.801042,11390
1659514919.842564,11403
1659514919.882205,11411
1659514919.921848,11412
1659514919.961489,11399
1659514920.002498,11392
1659514920.043507,11395
1659514920.087934,11396
1659514920.13236,11393
1659514920.176786,11406
1659514920.215745,11414
1659514920.254703,11416
1659514920.293662,11431
1659514920.334158,11423
1659514920.374654,11417
1659514920.413954,11414
1659514920.453254,11402
1659514920.492555,11396
1659514920.533564,11406
1659514920.574573,11409
1659514920.613189,11405
1659514920.651806,11425
1659514920.690423,11422
1659514920.728698,11426
1659514920.766973,11435
1659514920.805248,11435
1659514920.847794,11452
1659514920.890341,11448
1659514920.928958,11461
1659514920.967574,11466
1659514921.006191,11470
1659514921.045491,11466
1659514921.084792,11454
1659514921.124092,11470
1659514921.166126,11473
1659514921.20816,11496
1659514921.246777,11475
1659514921.285393,11457
1659514921.32401,11448
1659514921.365532,11457
1659514921.407053,11462
1659514921.446353,11468
1659514921.485654,11473
1659514921.524954,11473
1659514921.569038,11483
1659514921.613123,11478
1659514921.657207,11474
1659514921.695824,11471
1659514921.734441,11483
1659514921.773058,11505
1659514921.812016,11508
1659514921.850975,11524
1659514921.889933,11526
1659514921.930942,11527
1659514921.971951,11528
1659514922.012345,11534
1659514922.052738,11546
1659514922.093132,11556
1659514922.133526,11553
1659514922.17392,11535
1659514922.212536,11526
1659514922.251153,11527
1659514922.28977,11537
1659514922.331804,11558
1659514922.373838,11581
1659514922.413138,11608
1659514922.452438,11609
1659514922.491739,11588
1659514922.532748,11597
1659514922.573756,11585
1659514922.612031,11601
1659514922.650306,11620
1659514922.688581,11623
1659514922.730103,11610
1659514922.771624,11608
1659514922.810583,11606
1659514922.849541,11606
1659514922.8885,11620
1659514922.932584,11609
1659514922.976669,11607
1659514923.020753,11612
1659514923.062275,11581
1659514923.103796,11576
1659514923.142413,11563
1659514923.18103,11559
1659514923.219646,11558
1659514923.260655,11561
1659514923.301664,11570
1659514923.341306,11570
1659514923.380948,11584
1659514923.42059,11599
1659514923.459207,11606
1659514923.497823,11602
1659514923.53644,11609
1659514923.577962,11609
1659514923.619483,11616
1659514923.657758,11619
1659514923.696033,11642
1659514923.734308,11637
1659514923.772925,11642
1659514923.811542,11649
1659514923.850158,11647
1659514923.892193,11645
1659514923.934227,11643
1659514923.972843,11643
1659514924.01146,11644
1659514924.050077,11658
1659514924.091086,11654
1659514924.132095,11652
1659514924.171053,11666
1659514924.210011,11673
1659514924.24897,11670
1659514924.290491,11673
1659514924.332013,11670
1659514924.371655,11664
1659514924.411297,11676
1659514924.450939,11682
1659514924.49246,11676
1659514924.533982,11682
1659514924.578408,11683
1659514924.622834,11686
1659514924.667261,11680
1659514924.705877,11689
1659514924.744494,11680
1659514924.783111,11676
1659514924.825658,11679
1659514924.868204,11686
1659514924.906479,11704
1659514924.944754,11698
1659514924.983029,11679
1659514925.024551,11675
1659514925.066072,11675
1659514925.104689,11674
1659514925.143306,11670
1659514925.181922,11674
1659514925.220539,11690
1659514925.259156,11687
1659514925.297773,11692
1659514925.339807,11679
1659514925.381841,11695
1659514925.421141,11682
1659514925.460441,11698
1659514925.499741,11704
1659514925.54075,11713
1659514925.581759,11717
1659514925.621059,11723
1659514925.66036,11723
1659514925.69966,11724
1659514925.738618,11724
1659514925.777577,11726
1659514925.816535,11731
1659514925.857544,11730
1659514925.898553,11722
1659514925.939562,11734
1659514925.980571,11727
1659514926.019871,11722
1659514926.059171,11707
1659514926.098471,11707
1659514926.142214,11708
1659514926.185957,11722
1659514926.2297,11723
1659514926.263532,11723
1659514926.297364,11736
1659514926.341791,11733
1659514926.386217,11743
1659514926.430643,11736
1659514926.462938,11738
1659514926.495232,11741
1659514926.539317,11753
1659514926.583401,11752
1659514926.627486,11751
1659514926.667128,11755
1659514926.70677,11762
1659514926.746412,11774
1659514926.784687,11767
1659514926.822962,11765
1659514926.861237,11767
1659514926.900537,11771
1659514926.939837,11771
1659514926.979137,11766
1659514927.023564,11773
1659514927.06799,11773
1659514927.112416,11787
1659514927.144198,11775
1659514927.17598,11769
1659514927.220748,11782
1659514927.265516,11776
1659514927.310284,11788
1659514927.348901,11784
1659514927.387518,11784
1659514927.426134,11791
1659514927.467656,11804
1659514927.509177,11808
1659514927.548819,11798
1659514927.588461,11811
1659514927.628103,11817
1659514927.669625,11817
1659514927.711146,11823
1659514927.749763,11816
1659514927.78838,11810
1659514927.826996,11814
1659514927.869543,11816
1659514927.91209,11805
1659514927.95139,11811
1659514927.99069,11827
1659514928.02999,11840
1659514928.068265,11851
1659514928.10654,11856
1659514928.144815,11873
1659514928.185824,11862
1659514928.226833,11869
1659514928.266133,11867
1659514928.305434,11891
1659514928.344734,11879
1659514928.385743,11881
1659514928.426752,11883
1659514928.465368,11886
1659514928.503985,11884
1659514928.542602,11888
1659514928.584123,11895
1659514928.625645,11899
1659514928.664945,11901
1659514928.704245,11901
1659514928.743545,11896
1659514928.787972,11899
1659514928.832398,11885
1659514928.876824,11882
1659514928.910144,11900
1659514928.943464,11914
1659514928.98789,11933
1659514929.032316,11937
1659514929.076743,11946
1659514929.118264,11948
1659514929.159786,11956
1659514929.199428,11967
1659514929.239069,11963
1659514929.278712,11976
1659514929.316986,11995
1659514929.355261,12016
1659514929.393536,12018
1659514929.434033,12029
1659514929.474529,12049
1659514929.513146,12037
1659514929.551762,12032
1659514929.590379,12032
1659514929.629338,12048
1659514929.668296,12055
1659514929.707254,12052
1659514929.748776,12032
1659514929.790298,12032
1659514929.829256,12042
1659514929.868214,12039
1659514929.907173,12048
1659514929.949207,12049
1659514929.991241,12047
1659514930.029516,12050
1659514930.067791,12063
1659514930.106066,12075
1659514930.1481,12080
1659514930.190134,12085
1659514930.229776,12086
1659514930.269418,12088
1659514930.30906,12094
1659514930.349556,12088
1659514930.390053,12089
1659514930.434479,12098
1659514930.478905,12108
1659514930.523332,12121
1659514930.56229,12119
1659514930.601249,12112
1659514930.640207,12119
1659514930.682241,12095
1659514930.724275,12084
1659514930.76255,12094
1659514930.800825,12095
1659514930.8391,12090
1659514930.881134,12091
1659514930.923168,12106
1659514930.962127,12108
1659514931.001085,12115
1659514931.040044,12108
1659514931.07866,12113
1659514931.117277,12113
1659514931.155894,12118
1659514931.198953,12126
1659514931.242013,12127
1659514931.280971,12138
1659514931.319929,12139
1659514931.358888,12146
1659514931.399384,12150
1659514931.43988,12138
1659514931.479181,12143
1659514931.518481,12136
1659514931.557781,12128
1659514931.59674,12096
1659514931.635698,12086
1659514931.674656,12088
1659514931.715665,12108
1659514931.756674,12111
1659514931.795633,12114
1659514931.834591,12124
1659514931.87355,12131
1659514931.914558,12144
1659514931.955567,12137
1659514931.997345,12127
1659514932.039123,12117
1659514932.080901,12096
1659514932.122679,12078
1659514932.165226,12066
1659514932.207772,12069
1659514932.246047,12080
1659514932.284322,12110
1659514932.322597,12111
1659514932.361214,12107
1659514932.399831,12121
1659514932.438447,12111
1659514932.479969,12096
1659514932.52149,12073
1659514932.559765,12069
1659514932.59804,12068
1659514932.636315,12078
1659514932.678349,12092
1659514932.720383,12098
1659514932.759342,12113
1659514932.7983,12107
1659514932.837259,12097
1659514932.878268,12109
1659514932.919276,12102
1659514932.957551,12113
1659514932.995826,12143
1659514933.034101,12141
1659514933.076136,12126
1659514933.11817,12134
1659514933.157128,12125
1659514933.196087,12136
1659514933.235045,12137
1659514933.279471,12135
1659514933.323898,12150
1659514933.368324,12130
1659514933.410358,12110
1659514933.452392,12090
1659514933.491351,12101
1659514933.530309,12105
1659514933.569268,12115
1659514933.610789,12120
1659514933.652311,12124
1659514933.691269,12130
1659514933.730227,12129
1659514933.769186,12135
1659514933.807803,12137
1659514933.846419,12144
1659514933.885036,12132
1659514933.926045,12142
1659514933.967054,12141
1659514934.005671,12141
1659514934.044287,12155
1659514934.082904,12152
1659514934.124938,12155
1659514934.166972,12162
1659514934.205931,12163
1659514934.244889,12158
1659514934.283848,12148
1659514934.322806,12150
1659514934.361765,12145
1659514934.400723,12154
1659514934.442757,12154
1659514934.484791,12170
1659514934.524091,12179
1659514934.563392,12173
1659514934.602692,12178
1659514934.644213,12190
1659514934.685735,12190
1659514934.724693,12191
1659514934.763652,12198
1659514934.80261,12207
1659514934.843619,12222
1659514934.884628,12218
1659514934.928371,12209
1659514934.972114,12213
1659514935.015857,12212
1659514935.055157,12208
1659514935.094457,12192
1659514935.133757,12194
1659514935.174766,12181
1659514935.215775,12187
1659514935.25405,12181
1659514935.292325,12175
1659514935.3306,12193
1659514935.372121,12191
1659514935.413643,12198
1659514935.453285,12196
1659514935.492927,12193
1659514935.532569,12188
1659514935.570844,12203
1659514935.609119,12212
1659514935.647393,12193
1659514935.688915,12189
1659514935.730437,12187
1659514935.769395,12190
1659514935.808353,12188
1659514935.847312,12204
1659514935.885245,12213
1659514935.923178,12206
1659514935.961112,12190
1659514936.003658,12180
1659514936.046205,12187
1659514936.084822,12182
1659514936.123439,12201
1659514936.162055,12194
1659514936.202552,12187
1659514936.243048,12182
1659514936.287474,12180
1659514936.3319,12177
1659514936.376327,12174
1659514936.410159,12175
1659514936.443991,12168
1659514936.488418,12175
1659514936.532844,12167
1659514936.57727,12168
1659514936.61059,12170
1659514936.64391,12174
1659514936.68902,12169
1659514936.734129,12160
1659514936.779239,12140
1659514936.817514,12133
1659514936.855789,12172
1659514936.894064,12166
1659514936.936098,12171
1659514936.978132,12176
1659514937.017432,12181
1659514937.056733,12187
1659514937.096033,12183
1659514937.137042,12200
1659514937.178051,12210
1659514937.215471,12203
1659514937.252892,12206
1659514937.290313,12207
1659514937.327733,12202
1659514937.369255,12211
1659514937.410776,12227
1659514937.449735,12229
1659514937.488693,12231
1659514937.527652,12235
1659514937.57242,12240
1659514937.617188,12227
1659514937.661956,12220
1659514937.70399,12203
1659514937.746024,12199
1659514937.784641,12198
1659514937.823257,12195
1659514937.861874,12202
1659514937.903908,12208
1659514937.945942,12219
1659514937.985584,12221
1659514938.025226,12225
1659514938.064868,12224
1659514938.103143,12220
1659514938.141418,12219
1659514938.179693,12216
1659514938.220189,12226
1659514938.260686,12233
1659514938.299644,12238
1659514938.338603,12243
1659514938.377561,12250
1659514938.415836,12256
1659514938.454111,12259
1659514938.492386,12221
1659514938.53442,12189
1659514938.576454,12192
1659514938.614729,12185
1659514938.653004,12190
1659514938.691279,12201
1659514938.733313,12205
1659514938.775347,12209
1659514938.813964,12208
1659514938.852581,12197
1659514938.891197,12199
1659514938.933232,12201
1659514938.975266,12208
1659514939.014566,12215
1659514939.053866,12225
1659514939.093166,12230
1659514939.134175,12229
1659514939.175184,12222
1659514939.21961,12215
1659514939.264037,12210
1659514939.308463,12222
1659514939.34708,12213
1659514939.385696,12209
1659514939.424313,12212
1659514939.465835,12198
1659514939.507356,12197
1659514939.546315,12200
1659514939.585273,12213
1659514939.624232,12218
1659514939.665241,12236
1659514939.706249,12244
1659514939.745208,12264
1659514939.784166,12264
1659514939.823125,12271
1659514939.862083,12276
1659514939.901042,12286
1659514939.94,12293
1659514939.982547,12297
1659514940.025094,12299
1659514940.06371,12289
1659514940.102327,12307
1659514940.140944,12301
1659514940.182465,12320
1659514940.223987,12316
1659514940.263287,12302
1659514940.302587,12305
1659514940.341887,12301
1659514940.380846,12320
1659514940.419804,12321
1659514940.458763,12344
1659514940.499772,12321
1659514940.540781,12314
1659514940.582815,12326
1659514940.624849,12326
1659514940.663465,12328
1659514940.702082,12340
1659514940.740699,12352
1659514940.785125,12333
1659514940.829551,12348
1659514940.873978,12345
1659514940.908323,12345
1659514940.942668,12340
1659514940.987094,12340
1659514941.03152,12362
1659514941.075947,12345
1659514941.108241,12337
1659514941.140536,12333
1659514941.185646,12329
1659514941.230755,12335
1659514941.275865,12341
1659514941.309185,12341
1659514941.342505,12347
1659514941.386247,12353
1659514941.42999,12355
1659514941.473733,12363
1659514941.512691,12367
1659514941.55165,12366
1659514941.590608,12360
1659514941.631105,12362
1659514941.671601,12378
1659514941.710218,12381
1659514941.748834,12391
1659514941.787451,12393
1659514941.82641,12387
1659514941.865368,12397
1659514941.904326,12380
