LocalTimestamp,PI
1659521036.953305,155685
1659521036.997681,158876
1659521037.042056,159731
1659521037.080629,160238
1659521037.119201,160089
1659521037.157774,159536
1659521037.200272,159327
1659521037.24277,159150
1659521037.281001,159267
1659521037.319233,159574
1659521037.357464,159962
1659521037.396037,160058
1659521037.434609,159986
1659521037.473182,160247
1659521037.513632,160711
1659521037.554082,160946
1659521037.593337,161043
1659521037.632592,161215
1659521037.671848,161201
1659521037.710079,161365
1659521037.74831,161572
1659521037.786541,161522
1659521037.82904,161052
1659521037.871538,160770
1659521037.910452,160778
1659521037.949366,160650
1659521037.98828,160538
1659521038.029242,160776
1659521038.070204,161127
1659521038.1098,161514
1659521038.149397,161638
1659521038.188993,161443
1659521038.23098,161179
1659521038.272966,160067
1659521038.310856,159306
1659521038.348746,159123
1659521038.386635,159237
1659521038.428622,159654
1659521038.470608,159862
1659521038.514983,160088
1659521038.559359,160521
1659521038.603734,160965
1659521038.637016,161135
1659521038.670298,161491
1659521038.714673,161406
1659521038.759049,160859
1659521038.803424,160460
1659521038.843021,160257
1659521038.882617,159938
1659521038.922214,159814
1659521038.963176,159767
1659521039.004138,159832
1659521039.043052,159948
1659521039.081966,160110
1659521039.12088,159927
1659521039.16389,160017
1659521039.2069,159938
1659521039.245473,159688
1659521039.284046,159837
1659521039.322618,159792
1659521039.361532,159655
1659521039.400446,159607
1659521039.43936,159763
1659521039.480834,159895
1659521039.522308,160063
1659521039.561222,160140
1659521039.600136,160182
1659521039.63905,160303
1659521039.677964,160463
1659521039.716878,160604
1659521039.755792,160917
1659521039.797266,160972
1659521039.83874,160829
1659521039.882774,160672
1659521039.926808,160604
1659521039.970843,160444
1659521040.009757,160313
1659521040.048671,160178
1659521040.087584,160179
1659521040.130083,160236
1659521040.172581,160320
1659521040.210812,160425
1659521040.249043,160682
1659521040.287274,161044
1659521040.328748,161212
1659521040.370223,161068
1659521040.408795,160826
1659521040.447368,160680
1659521040.48594,160714
1659521040.524172,160664
1659521040.562403,160518
1659521040.600634,160368
1659521040.64262,160086
1659521040.684606,160057
1659521040.72352,160549
1659521040.762434,160738
1659521040.801348,160475
1659521040.839579,160363
1659521040.877811,160351
1659521040.916042,160342
1659521040.957516,160244
1659521040.99899,160166
1659521041.038245,160081
1659521041.077501,160012
1659521041.116756,159927
1659521041.158742,159773
1659521041.200728,159596
1659521041.239642,159577
1659521041.278556,159591
1659521041.31747,159635
1659521041.359456,159685
1659521041.401442,159741
1659521041.445476,159640
1659521041.489511,159644
1659521041.533545,159617
1659521041.567338,159571
1659521041.601132,159574
1659521041.645508,159591
1659521041.689883,159476
1659521041.734259,159421
1659521041.772831,159383
1659521041.811404,159360
1659521041.849977,159366
1659521041.890939,159345
1659521041.931901,159329
1659521041.970815,159323
1659521042.009729,159322
1659521042.048643,159333
1659521042.090629,159349
1659521042.132615,159389
1659521042.170505,159338
1659521042.208395,159338
1659521042.246284,159251
1659521042.284174,159122
1659521042.328891,159028
1659521042.373608,158984
1659521042.418325,158907
1659521042.452119,158857
1659521042.485913,158804
1659521042.529947,158732
1659521042.573981,158726
1659521042.618015,158710
1659521042.656929,158700
1659521042.695843,158724
1659521042.734757,158747
1659521042.777255,158759
1659521042.819753,158766
1659521042.857984,158783
1659521042.896216,158785
1659521042.934447,158794
1659521042.973361,158784
1659521043.012275,158801
1659521043.051189,158819
1659521043.092151,158826
1659521043.133113,158829
1659521043.171344,158790
1659521043.209575,158785
1659521043.247807,158807
1659521043.289793,158807
1659521043.331779,158806
1659521043.371034,158817
1659521043.410289,158855
1659521043.449545,158876
1659521043.487776,158959
1659521043.526007,159096
1659521043.564238,159223
1659521043.606225,159324
1659521043.648211,159426
1659521043.690709,159568
1659521043.733207,159627
1659521043.771097,159653
1659521043.808987,159642
1659521043.846877,159599
1659521043.891252,159576
1659521043.935628,159543
1659521043.980003,159483
1659521044.012773,159396
1659521044.045542,159323
1659521044.089577,159283
1659521044.133611,159219
1659521044.177645,159181
1659521044.2169,159169
1659521044.256156,159166
1659521044.295411,159156
1659521044.337397,159160
1659521044.379383,159149
1659521044.417956,159143
1659521044.456528,159182
1659521044.495101,159175
1659521044.536063,159190
1659521044.577025,159215
1659521044.616963,159230
1659521044.656901,159220
1659521044.696839,159212
1659521044.735412,159222
1659521044.773984,159206
1659521044.812557,159237
1659521044.854031,159253
1659521044.895505,159220
1659521044.934419,159209
1659521044.973333,159203
1659521045.012247,159180
1659521045.054233,159143
1659521045.096219,159111
1659521045.135952,159112
1659521045.175685,159106
1659521045.215419,159132
1659521045.255152,159165
1659521045.294885,159201
1659521045.336359,159173
1659521045.377833,159133
1659521045.416747,159119
1659521045.455661,159110
1659521045.494575,159145
1659521045.536561,159160
1659521045.578547,159195
1659521045.617461,159252
1659521045.656375,159249
1659521045.695289,159240
1659521045.733862,159240
1659521045.772434,159263
1659521045.811007,159253
1659521045.852993,159220
1659521045.894979,159221
1659521045.936965,159214
1659521045.978951,159230
1659521046.017182,159261
1659521046.055414,159283
1659521046.093645,159311
1659521046.137679,159324
1659521046.181713,159305
1659521046.225748,159251
1659521046.259029,159217
1659521046.292311,159228
1659521046.336345,159224
1659521046.380379,159247
1659521046.424413,159271
1659521046.457183,159268
1659521046.489953,159214
1659521046.53467,159176
1659521046.579386,159129
1659521046.624104,159091
1659521046.662676,159071
1659521046.701249,159110
1659521046.739821,159109
1659521046.781807,159107
1659521046.823793,159130
1659521046.862707,159150
1659521046.901621,159153
1659521046.940535,159160
1659521046.982009,159190
1659521047.023484,159187
1659521047.062056,159180
1659521047.100629,159153
1659521047.139201,159119
1659521047.177774,159077
1659521047.216347,159076
1659521047.254919,159113
1659521047.297417,159023
1659521047.339915,158964
1659521047.377805,158970
1659521047.415695,159026
1659521047.453585,158976
1659521047.494547,158942
1659521047.535509,158919
1659521047.575106,158874
1659521047.614702,158882
1659521047.654299,158853
1659521047.695773,158804
1659521047.737247,158792
1659521047.776161,158723
1659521047.815075,158674
1659521047.853989,158625
1659521047.896487,158632
1659521047.938985,158693
1659521047.977558,158707
1659521048.01613,158797
1659521048.054703,158890
1659521048.09942,158895
1659521048.144137,158908
1659521048.188854,158921
1659521048.231352,158944
1659521048.27385,159000
1659521048.312423,159007
1659521048.350995,158890
1659521048.389568,158803
1659521048.42814,158695
1659521048.466713,158609
1659521048.505286,158578
1659521048.547272,158659
1659521048.589258,159303
1659521048.627489,159847
1659521048.66572,160106
1659521048.703952,160195
1659521048.745425,160075
1659521048.7869,159759
1659521048.826496,159352
1659521048.866093,159113
1659521048.905689,159016
1659521048.943921,158985
1659521048.982152,158973
1659521049.020383,158879
1659521049.061857,158718
1659521049.103332,158574
1659521049.142928,158528
1659521049.182525,158528
1659521049.222121,158557
1659521049.263596,158551
1659521049.305069,158573
1659521049.343301,158715
1659521049.381532,158809
1659521049.419763,158888
1659521049.461237,158900
1659521049.502712,158817
1659521049.541625,158727
1659521049.580539,158618
1659521049.619453,158640
1659521049.660415,158715
1659521049.701377,158762
1659521049.745753,158817
1659521049.790128,158828
1659521049.834504,158859
