LocalTimestamp,PI
1659432675.856751,168583
1659432675.890068,168616
1659432675.935174,168618
1659432675.980279,168608
1659432676.025385,168342
1659432676.059215,168026
1659432676.093044,167847
1659432676.137125,167796
1659432676.181206,167808
1659432676.225286,167920
1659432676.264583,168028
1659432676.30388,167979
1659432676.343177,167888
1659432676.384182,167854
1659432676.425188,167709
1659432676.463801,167572
1659432676.502414,167477
1659432676.541028,167480
1659432676.583058,167531
1659432676.625089,167614
1659432676.664044,167683
1659432676.702999,167750
1659432676.741954,167811
1659432676.780226,167886
1659432676.818497,167971
1659432676.856769,167873
1659432676.898287,167553
1659432676.939805,167309
1659432676.979444,167241
1659432677.019082,167279
1659432677.058721,167339
1659432677.096992,167479
1659432677.135264,167535
1659432677.173536,167581
1659432677.215054,167581
1659432677.256572,167602
1659432677.299114,167608
1659432677.341658,167655
1659432677.380613,167713
1659432677.419568,167768
1659432677.458523,167812
1659432677.499016,167871
1659432677.539509,167956
1659432677.578805,168026
1659432677.618102,168111
1659432677.657399,168203
1659432677.701138,168126
1659432677.744877,167871
1659432677.788616,167627
1659432677.82142,167538
1659432677.854225,167563
1659432677.898989,167611
1659432677.943753,167624
1659432677.988517,167650
1659432678.027131,167651
1659432678.065744,167638
1659432678.104357,167703
1659432678.145363,167792
1659432678.186368,167877
1659432678.226007,167934
1659432678.265645,167969
1659432678.305284,168019
1659432678.347314,168084
1659432678.389345,168144
1659432678.427616,168156
1659432678.465888,168240
1659432678.50416,168316
1659432678.543457,168112
1659432678.582753,167565
1659432678.62205,167377
1659432678.663055,167603
1659432678.704061,167802
1659432678.742674,167851
1659432678.781288,167911
1659432678.819901,167916
1659432678.862444,167806
1659432678.904987,167737
1659432678.9436,167715
1659432678.982214,167769
1659432679.020827,167866
1659432679.061833,167955
1659432679.102838,168009
1659432679.142135,168087
1659432679.181432,168160
1659432679.220728,168202
1659432679.262759,168238
1659432679.30479,168305
1659432679.34887,168374
1659432679.392951,168419
1659432679.437032,168278
1659432679.476329,167926
1659432679.515625,167643
1659432679.554922,167513
1659432679.59644,167481
1659432679.637958,167504
1659432679.67623,167544
1659432679.714501,167568
1659432679.752773,167547
1659432679.795316,167534
1659432679.837859,167587
1659432679.876814,167681
1659432679.915769,167780
1659432679.954725,167866
1659432679.992996,167980
1659432680.031268,168065
1659432680.06954,168110
1659432680.110545,168194
1659432680.15155,168253
1659432680.191736,168319
1659432680.231921,168387
1659432680.272106,168424
1659432680.312291,168374
1659432680.352477,168111
1659432680.391432,167892
1659432680.430387,167786
1659432680.469342,167778
1659432680.511372,167757
1659432680.553403,167787
1659432680.592016,167746
1659432680.63063,167638
1659432680.669243,167539
1659432680.708198,167527
1659432680.747153,167565
1659432680.786108,167612
1659432680.827114,167633
1659432680.868119,167647
1659432680.908612,167707
1659432680.949105,167729
1659432680.987718,167738
1659432681.026331,167797
1659432681.064945,167878
1659432681.109367,167988
1659432681.15379,168100
1659432681.198212,168147
1659432681.232042,167914
1659432681.265871,167482
1659432681.309952,167165
1659432681.354033,167076
1659432681.398113,167059
1659432681.43143,167042
1659432681.464747,167086
1659432681.509511,167071
1659432681.554276,166995
1659432681.59904,166932
1659432681.638336,166919
1659432681.677633,166955
1659432681.71693,167010
1659432681.75896,167033
1659432681.800991,167038
1659432681.839946,167013
1659432681.878901,166999
1659432681.917856,167070
1659432681.958349,167171
1659432681.998842,167296
1659432682.038139,167400
1659432682.077435,167413
1659432682.116732,167184
1659432682.156029,166827
1659432682.195326,166637
1659432682.234623,166634
1659432682.275116,166638
1659432682.315609,166650
1659432682.354222,166643
1659432682.392835,166627
1659432682.431449,166607
1659432682.474504,166652
1659432682.51756,166759
1659432682.556173,166907
1659432682.594787,167039
1659432682.6334,167128
1659432682.674405,167214
1659432682.715411,167252
1659432682.755049,167300
1659432682.794688,167360
1659432682.834326,167448
1659432682.876357,167524
1659432682.918387,167538
1659432682.957001,167296
1659432682.995614,166939
1659432683.034227,166793
1659432683.078992,166710
1659432683.123756,166524
1659432683.16852,166520
1659432683.209525,166475
1659432683.250531,166441
1659432683.288461,166411
1659432683.326391,166380
1659432683.364321,166442
1659432683.403617,166645
1659432683.442914,166800
1659432683.482211,166874
1659432683.523729,166967
1659432683.565247,167043
1659432683.603519,167122
1659432683.64179,167192
1659432683.680062,167212
1659432683.719359,167221
1659432683.758656,167189
1659432683.797952,166893
1659432683.83947,166496
1659432683.880988,166277
1659432683.919602,166189
1659432683.958215,166162
1659432683.996828,166202
1659432684.039371,166317
1659432684.081915,166368
1659432684.120528,166370
1659432684.159141,166399
1659432684.197755,166440
1659432684.238247,166558
1659432684.27874,166725
1659432684.317695,166819
1659432684.356651,166883
1659432684.395606,166990
1659432684.440028,167101
1659432684.484451,167157
1659432684.528873,167202
1659432684.570391,167242
1659432684.611909,167114
1659432684.651206,166754
1659432684.690502,166413
1659432684.729799,166265
1659432684.771317,166259
1659432684.812835,166394
1659432684.851449,166560
1659432684.890062,166702
1659432684.928675,166780
1659432684.971218,166804
1659432685.013762,166934
1659432685.052716,167111
1659432685.091672,167207
1659432685.130627,167342
1659432685.168898,167489
1659432685.20717,167617
1659432685.245442,167727
1659432685.286447,167843
1659432685.327452,167875
1659432685.367091,167899
1659432685.406729,167837
1659432685.446368,167580
1659432685.484982,167301
1659432685.523595,167138
1659432685.562208,166999
1659432685.603214,166895
1659432685.644219,166832
1659432685.683516,166827
1659432685.722813,166848
1659432685.762109,166878
1659432685.80414,166971
1659432685.84617,167061
1659432685.887688,167085
1659432685.929206,167105
1659432685.968161,167149
1659432686.007117,167213
1659432686.046072,167342
1659432686.090494,167499
1659432686.134917,167626
1659432686.179339,167677
1659432686.213168,167541
1659432686.246998,167123
1659432686.29142,166918
1659432686.335843,166935
1659432686.380265,166962
1659432686.418537,166974
1659432686.456809,167022
1659432686.49508,167163
1659432686.535573,167333
1659432686.576066,167451
1659432686.614679,167484
1659432686.653293,167557
1659432686.691906,167539
1659432686.733424,167521
1659432686.774942,167545
1659432686.813555,167580
1659432686.852169,167578
1659432686.890782,167580
1659432686.929395,167543
1659432686.968009,167481
1659432687.006622,167279
1659432687.048653,166956
1659432687.090683,166781
1659432687.129297,166799
1659432687.16791,166878
1659432687.206523,166973
1659432687.245478,167042
1659432687.284434,167092
1659432687.323389,167086
1659432687.365932,167111
1659432687.408475,167133
1659432687.448968,167221
1659432687.48946,167275
1659432687.527732,167292
1659432687.566004,167324
1659432687.604275,167385
1659432687.64904,167481
1659432687.693804,167551
1659432687.738568,167576
1659432687.771885,167419
1659432687.805202,167126
1659432687.849283,166950
1659432687.893363,166914
1659432687.937444,166903
1659432687.971273,166886
1659432688.005103,166914
1659432688.049525,166937
1659432688.093948,166927
1659432688.13837,166924
1659432688.176984,166992
1659432688.215597,167060
1659432688.25421,167173
1659432688.297266,167251
1659432688.340322,167313
1659432688.378935,167423
1659432688.417548,167482
1659432688.456162,167555
1659432688.496655,167617
1659432688.537148,167625
1659432688.576444,167421
1659432688.615741,167259
1659432688.655038,167211
1659432688.693993,167227
1659432688.732948,167290
1659432688.771903,167342
1659432688.812909,167379
1659432688.853914,167375
1659432688.892869,167380
1659432688.931824,167381
1659432688.970779,167448
1659432689.012297,167501
1659432689.053815,167559
1659432689.09277,167580
1659432689.131725,167583
1659432689.170681,167619
1659432689.212711,167650
1659432689.254741,167684
1659432689.293696,167729
1659432689.332652,167760
1659432689.371607,167599
1659432689.413125,167417
1659432689.454643,167380
1659432689.498723,167397
1659432689.542804,167443
1659432689.586885,167486
1659432689.626182,167518
1659432689.665478,167518
1659432689.704775,167536
1659432689.745268,167541
1659432689.785761,167570
1659432689.824374,167623
1659432689.862988,167686
1659432689.901601,167749
1659432689.942606,167769
1659432689.983612,167837
1659432690.022567,167898
1659432690.061522,167936
1659432690.100477,168009
1659432690.140457,168056
1659432690.180438,167932
1659432690.220418,167681
1659432690.260398,167557
1659432690.300378,167508
1659432690.338992,167515
1659432690.377605,167527
1659432690.416218,167535
1659432690.455173,167539
1659432690.494128,167534
1659432690.533084,167517
1659432690.575114,167521
1659432690.617145,167582
1659432690.658406,167629
1659432690.699668,167661
1659432690.74093,167695
1659432690.782191,167739
1659432690.824734,167765
1659432690.867277,167805
1659432690.905549,167865
1659432690.943821,167913
1659432690.982092,167963
1659432691.020706,167940
1659432691.059319,167737
1659432691.097933,167564
1659432691.138938,167529
1659432691.179943,167544
1659432691.219923,167557
1659432691.259904,167572
1659432691.299884,167614
1659432691.338497,167600
1659432691.377111,167576
1659432691.415724,167599
1659432691.457242,167645
1659432691.49876,167714
1659432691.538399,167757
1659432691.578037,167785
1659432691.617676,167824
1659432691.659706,167878
1659432691.701737,167933
1659432691.743254,167977
1659432691.784772,168031
1659432691.823728,168092
1659432691.862683,168099
1659432691.901638,167853
1659432691.945719,167586
1659432691.989799,167488
1659432692.03388,167466
1659432692.067197,167426
1659432692.100514,167414
1659432692.145278,167418
1659432692.190042,167388
1659432692.234806,167400
1659432692.267611,167393
1659432692.300415,167432
1659432692.344496,167519
1659432692.388577,167597
1659432692.432657,167673
1659432692.471954,167723
