LocalTimestamp,PG
1659442945.048808,10527
1659442945.048808,10557
1659442945.048808,10570
1659442945.048808,10050
1659442945.048808,10039
1659442945.048808,10108
1659442945.086528,10206
1659442945.124248,10300
1659442945.161968,10374
1659442945.199688,10456
1659442945.237408,10527
1659442945.275128,10598
1659442945.314384,10665
1659442945.35364,10711
1659442945.392897,10768
1659442945.43386,10802
1659442945.474823,10794
1659442945.513737,10739
1659442945.552652,10634
1659442945.591567,10575
1659442945.634066,10573
1659442945.676565,10560
1659442945.715138,10581
1659442945.753712,10616
1659442945.792285,10645
1659442945.836321,10687
1659442945.880356,10710
1659442945.924391,10740
1659442945.965866,10776
1659442946.007341,10808
1659442946.045232,10836
1659442946.083122,10876
1659442946.121013,10921
1659442946.163512,10904
1659442946.206011,10841
1659442946.245268,10778
1659442946.284524,10760
1659442946.32378,10762
1659442946.362695,10782
1659442946.40161,10818
1659442946.440524,10845
1659442946.481999,10888
1659442946.523474,10908
1659442946.562731,10928
1659442946.601987,10963
1659442946.641243,10989
1659442946.68323,11026
1659442946.725217,11049
1659442946.76379,11079
1659442946.802364,11074
1659442946.840937,10988
1659442946.879852,10882
1659442946.918767,10816
1659442946.957682,10783
1659442946.999157,10767
1659442947.040632,10781
1659442947.078864,10792
1659442947.117096,10817
1659442947.155328,10829
1659442947.197315,10850
1659442947.239302,10882
1659442947.2789,10908
1659442947.318497,10958
1659442947.358095,10990
1659442947.399058,11044
1659442947.440021,11063
1659442947.484397,11013
1659442947.528774,10923
1659442947.57315,10830
1659442947.607457,10781
1659442947.641763,10753
1659442947.685799,10745
1659442947.729834,10767
1659442947.773869,10816
1659442947.812442,10825
1659442947.851016,10849
1659442947.889589,10876
1659442947.930552,10906
1659442947.971515,10942
1659442948.010089,10967
1659442948.048662,11005
1659442948.087236,11034
1659442948.129223,11063
1659442948.17121,11023
1659442948.210124,10909
1659442948.249039,10839
1659442948.287954,10782
1659442948.326186,10752
1659442948.364418,10755
1659442948.40265,10761
1659442948.443613,10795
1659442948.484576,10825
1659442948.524174,10849
1659442948.563771,10865
1659442948.603369,10907
1659442948.644844,10951
1659442948.686319,10977
1659442948.724551,11033
1659442948.762783,11061
1659442948.801015,11089
1659442948.843514,11093
1659442948.886014,10997
1659442948.92527,10879
1659442948.964526,10796
1659442949.003782,10767
1659442949.044233,10741
1659442949.084684,10762
1659442949.12394,10802
1659442949.163196,10826
1659442949.202452,10866
1659442949.246829,10878
1659442949.291205,10919
1659442949.335582,10943
1659442949.368864,10978
1659442949.402147,11000
1659442949.446865,11047
1659442949.491583,11081
1659442949.5363,11125
1659442949.569583,11152
1659442949.602865,11112
1659442949.6469,11014
1659442949.690936,10905
1659442949.734971,10856
1659442949.774568,10829
1659442949.814166,10832
1659442949.853764,10861
1659442949.896263,10894
1659442949.938762,10933
1659442949.977335,10948
1659442950.015908,10988
1659442950.054482,11003
1659442950.095957,11022
1659442950.137432,11057
1659442950.176005,11078
1659442950.214579,11112
1659442950.253152,11138
1659442950.291384,11180
1659442950.329617,11200
1659442950.367849,11159
1659442950.412225,11045
1659442950.456602,10952
1659442950.500978,10897
1659442950.534773,10875
1659442950.568567,10886
1659442950.612602,10932
1659442950.656638,10970
1659442950.700673,11008
1659442950.739929,11044
1659442950.779185,11066
1659442950.818441,11100
1659442950.859916,11136
1659442950.901391,11167
1659442950.939965,11196
1659442950.978538,11240
1659442951.017112,11271
1659442951.059099,11302
1659442951.101086,11274
1659442951.140001,11203
1659442951.178916,11133
1659442951.21783,11132
1659442951.256062,11133
1659442951.294294,11142
1659442951.332526,11187
1659442951.373489,11219
1659442951.414453,11245
1659442951.453709,11266
1659442951.492965,11285
1659442951.532221,11315
1659442951.573696,11339
1659442951.615171,11363
1659442951.653403,11386
1659442951.691635,11432
1659442951.729867,11460
1659442951.769465,11449
1659442951.809062,11381
1659442951.84866,11308
1659442951.890135,11272
1659442951.93161,11252
1659442951.972573,11258
1659442952.013536,11289
1659442952.052792,11320
1659442952.092048,11336
1659442952.131304,11351
1659442952.176022,11374
1659442952.22074,11387
1659442952.265458,11419
1659442952.299253,11438
1659442952.333047,11468
1659442952.377424,11492
1659442952.4218,11525
1659442952.466177,11541
1659442952.499459,11505
1659442952.532741,11409
1659442952.576435,11316
1659442952.620129,11279
1659442952.663823,11261
1659442952.702738,11256
1659442952.741652,11298
1659442952.780567,11326
1659442952.823578,11344
1659442952.86659,11361
1659442952.905163,11366
1659442952.943737,11394
1659442952.98231,11424
1659442953.023785,11456
1659442953.06526,11491
1659442953.104857,11511
1659442953.144455,11532
1659442953.184052,11547
1659442953.222285,11533
1659442953.260517,11434
1659442953.298749,11300
1659442953.340736,11156
1659442953.382723,11014
1659442953.421979,10884
1659442953.461235,10809
1659442953.500491,10764
1659442953.540942,10727
1659442953.581393,10671
1659442953.619967,10599
1659442953.65854,10557
1659442953.697114,10593
1659442953.739613,10643
1659442953.782112,10683
1659442953.820003,10714
1659442953.857893,10750
1659442953.895784,10770
1659442953.937259,10796
1659442953.978734,10820
1659442954.01799,10767
1659442954.057246,10601
1659442954.096503,10467
1659442954.140879,10394
1659442954.185256,10358
1659442954.229632,10340
1659442954.271107,10352
1659442954.312582,10385
1659442954.351838,10400
1659442954.391095,10411
1659442954.430351,10421
1659442954.471314,10443
1659442954.512277,10469
1659442954.550168,10486
1659442954.588058,10522
1659442954.625949,10575
1659442954.665205,10601
1659442954.704461,10640
1659442954.743717,10685
1659442954.785705,10676
1659442954.827692,10561
1659442954.866265,10450
1659442954.904839,10396
1659442954.943412,10372
1659442954.982327,10343
1659442955.021242,10340
1659442955.060156,10350
1659442955.101631,10361
1659442955.143106,10361
1659442955.182021,10362
1659442955.220936,10388
1659442955.259851,10411
1659442955.301838,10448
1659442955.343825,10495
1659442955.38274,10535
1659442955.421654,10590
1659442955.460569,10610
1659442955.502044,10594
1659442955.543519,10477
1659442955.588237,10328
1659442955.632955,10233
1659442955.677673,10181
1659442955.711468,10160
1659442955.745262,10158
1659442955.789297,10183
1659442955.833332,10190
1659442955.877367,10194
1659442955.910138,10209
1659442955.942908,10224
1659442955.987285,10262
1659442956.031661,10301
1659442956.076038,10346
1659442956.114953,10384
1659442956.153867,10432
1659442956.192782,10472
1659442956.234257,10508
1659442956.275732,10508
1659442956.314989,10385
1659442956.354245,10257
1659442956.393501,10187
1659442956.432074,10159
1659442956.470648,10137
1659442956.509221,10167
1659442956.551208,10205
1659442956.593195,10239
1659442956.63211,10270
1659442956.671025,10287
1659442956.70994,10322
1659442956.750903,10341
1659442956.791866,10376
1659442956.830439,10414
1659442956.869013,10464
1659442956.907586,10507
1659442956.946501,10545
1659442956.985416,10603
1659442957.024331,10597
1659442957.066318,10505
1659442957.108305,10356
1659442957.148756,10273
1659442957.189207,10240
1659442957.228121,10217
1659442957.267036,10227
1659442957.305951,10269
1659442957.350669,10311
1659442957.395387,10333
1659442957.440105,10368
1659442957.473387,10394
1659442957.50667,10422
1659442957.551387,10465
1659442957.596105,10509
1659442957.640823,10551
1659442957.679738,10594
1659442957.718653,10645
1659442957.757568,10691
1659442957.798531,10724
1659442957.839494,10661
1659442957.878067,10524
1659442957.916641,10443
1659442957.955214,10408
1659442957.994129,10402
1659442958.033044,10429
1659442958.071958,10466
1659442958.113433,10518
1659442958.154908,10573
1659442958.193823,10597
1659442958.232738,10638
1659442958.271653,10674
1659442958.313128,10714
1659442958.354603,10753
1659442958.392835,10781
1659442958.431067,10818
1659442958.469299,10856
1659442958.511798,10892
1659442958.554297,10845
1659442958.593895,10721
1659442958.633492,10630
1659442958.67309,10594
1659442958.714565,10596
1659442958.75604,10619
1659442958.794955,10647
1659442958.833869,10696
1659442958.872784,10711
1659442958.917502,10735
1659442958.96222,10759
1659442959.006938,10801
1659442959.039708,10839
1659442959.072479,10879
1659442959.116514,10912
1659442959.160549,10942
1659442959.204584,10988
1659442959.246572,11005
1659442959.288558,10946
1659442959.326791,10807
1659442959.365023,10718
1659442959.403255,10680
1659442959.442511,10667
1659442959.481767,10677
1659442959.521023,10706
1659442959.56301,10740
1659442959.604997,10743
1659442959.643229,10750
1659442959.681462,10760
