LocalTimestamp,PG
1659432191.349141,12145
1659432191.393221,12470
1659432191.437302,12761
1659432191.481383,12997
1659432191.515212,13175
1659432191.549042,13281
1659432191.593122,13327
1659432191.637203,13281
1659432191.681284,13233
1659432191.719898,13235
1659432191.758511,13276
1659432191.797124,13363
1659432191.839155,13433
1659432191.881185,13527
1659432191.92014,13600
1659432191.959095,13690
1659432191.99805,13750
1659432192.038543,13822
1659432192.079036,13925
1659432192.117991,13996
1659432192.156946,14045
1659432192.195901,14078
1659432192.234857,14103
1659432192.273812,14131
1659432192.312767,14160
1659432192.354285,14158
1659432192.395802,14020
1659432192.434758,13698
1659432192.473713,13192
1659432192.512668,12753
1659432192.554186,12332
1659432192.595704,11398
1659432192.633634,11595
1659432192.671564,10564
1659432192.709494,10270
1659432192.748107,10107
1659432192.786721,9994
1659432192.825334,9933
1659432192.867364,9926
1659432192.909395,9949
1659432192.9504,9988
1659432192.991405,10046
1659432193.029677,10146
1659432193.067949,10292
1659432193.10622,11984
1659432193.151326,13018
1659432193.196432,12962
1659432193.241538,11823
1659432193.274343,11254
1659432193.307147,11039
1659432193.351569,10975
1659432193.395992,10919
1659432193.440414,10818
1659432193.479711,10917
1659432193.519008,10282
1659432193.558305,9140
1659432193.599823,9035
1659432193.64134,9125
1659432193.680296,9251
1659432193.719251,9404
1659432193.758206,9547
1659432193.800749,9705
1659432193.843292,9888
1659432193.881564,10061
1659432193.919835,10247
1659432193.958107,10290
1659432193.997882,10223
1659432194.037657,10135
1659432194.077433,10111
1659432194.117208,10134
1659432194.156983,10177
1659432194.199013,10232
1659432194.241044,10388
1659432194.279316,10586
1659432194.317587,10734
1659432194.355859,10855
1659432194.395156,10906
1659432194.434453,10824
1659432194.473749,10755
1659432194.515267,10750
1659432194.556785,10785
1659432194.596424,10824
1659432194.636062,10863
1659432194.675701,10874
1659432194.717219,10888
1659432194.758737,10820
1659432194.798375,10648
1659432194.838014,10520
1659432194.877652,10455
1659432194.918145,10431
1659432194.958638,10411
1659432195.00306,10370
1659432195.047483,10318
1659432195.091905,10278
1659432195.125735,10264
1659432195.159564,10274
1659432195.203645,10303
1659432195.247726,10337
1659432195.291806,10387
1659432195.330078,10440
1659432195.36835,10504
1659432195.406621,10572
1659432195.448652,10647
1659432195.490683,10720
1659432195.529638,10790
1659432195.568593,10777
1659432195.607548,10658
1659432195.649066,10563
1659432195.690584,10509
1659432195.729197,10483
1659432195.767811,10483
1659432195.806424,10507
1659432195.845721,10510
1659432195.885017,10521
1659432195.924314,10529
1659432195.965832,10572
1659432196.00735,10620
1659432196.046305,10664
1659432196.08526,10719
1659432196.124215,10764
1659432196.165221,10804
1659432196.206226,10852
1659432196.246001,10917
1659432196.285777,10953
1659432196.325552,10944
1659432196.365327,10802
1659432196.405102,10669
1659432196.444057,10627
1659432196.483012,10642
1659432196.521967,10694
1659432196.562973,10741
1659432196.603978,10770
1659432196.643275,10770
1659432196.682572,10804
1659432196.721869,10845
1659432196.763899,10893
1659432196.80593,10941
1659432196.844201,11000
1659432196.882473,11042
1659432196.920745,11098
1659432196.96175,11143
1659432197.002755,11177
1659432197.047861,11230
1659432197.092967,11212
1659432197.138073,11054
1659432197.176345,10855
1659432197.214617,10746
1659432197.252888,10701
1659432197.294919,10696
1659432197.336949,10705
1659432197.376246,10711
1659432197.415543,10717
1659432197.454839,10711
1659432197.495845,10756
1659432197.53685,10805
1659432197.575122,10865
1659432197.613394,10947
1659432197.651665,11033
1659432197.691304,11110
1659432197.730942,11170
1659432197.770581,11232
1659432197.812611,11298
1659432197.854642,11358
1659432197.893597,11335
1659432197.932552,11208
1659432197.971507,11100
1659432198.013538,11095
1659432198.055568,11130
1659432198.094182,11173
1659432198.132795,11248
1659432198.171408,11282
1659432198.20968,11307
1659432198.247952,11298
1659432198.286223,11320
1659432198.328766,11354
1659432198.37131,11381
1659432198.40924,11389
1659432198.447169,11401
1659432198.485099,11394
1659432198.526105,11376
1659432198.56711,11356
1659432198.611533,11322
1659432198.655955,11314
1659432198.700377,11232
1659432198.733694,10955
1659432198.767011,10574
1659432198.811092,10275
1659432198.855173,10099
1659432198.899254,9990
1659432198.93855,9887
1659432198.977847,9792
1659432199.017144,9713
1659432199.058662,9613
1659432199.10018,9522
1659432199.138793,9454
1659432199.177407,9412
1659432199.21602,9389
1659432199.25805,9408
1659432199.300081,9433
1659432199.338694,9475
1659432199.377308,9526
1659432199.415921,9584
1659432199.454193,9633
1659432199.492465,9690
1659432199.530736,9708
1659432199.571742,9586
1659432199.612747,9372
1659432199.652044,9248
1659432199.69134,9222
1659432199.730637,9260
1659432199.769251,9305
1659432199.807864,9356
1659432199.846478,9344
1659432199.887483,9328
1659432199.928488,9352
1659432199.970519,9413
1659432200.012549,9489
1659432200.051846,9577
1659432200.091143,9669
1659432200.13044,9761
1659432200.174862,9849
1659432200.219285,9926
1659432200.263707,10013
1659432200.297024,10111
1659432200.330341,10186
1659432200.375105,10204
1659432200.419869,10102
1659432200.464633,9934
1659432200.498463,9864
1659432200.532292,9838
1659432200.576715,9849
1659432200.621137,9870
1659432200.66556,9866
1659432200.704173,9850
1659432200.742786,9842
1659432200.7814,9876
1659432200.822405,9926
1659432200.86341,9991
1659432200.902366,10037
1659432200.941321,10111
1659432200.980276,10190
1659432201.022306,10258
1659432201.064337,10326
1659432201.10295,10399
1659432201.141564,10474
1659432201.180177,10497
1659432201.219474,10412
1659432201.258771,10264
1659432201.298068,10207
1659432201.339585,10214
1659432201.381103,10234
1659432201.419375,10270
1659432201.457647,10309
1659432201.495918,10307
1659432201.537949,10309
1659432201.579979,10330
1659432201.62201,10368
1659432201.66404,10417
1659432201.702312,10445
1659432201.740584,10494
1659432201.778855,10567
1659432201.820373,10632
1659432201.861891,10683
1659432201.901188,10741
1659432201.940485,10785
1659432201.979782,10806
1659432202.020274,10713
1659432202.060767,10476
1659432202.099381,10287
1659432202.137994,10226
1659432202.176607,10219
1659432202.219151,10222
1659432202.261693,10254
1659432202.300307,10255
1659432202.33892,10229
1659432202.377534,10203
1659432202.421614,10194
1659432202.465695,10231
1659432202.509776,10266
1659432202.543093,10325
1659432202.57641,10390
1659432202.620491,10464
1659432202.664571,10510
1659432202.708652,10552
1659432202.746582,10593
1659432202.784512,10633
1659432202.822442,10633
1659432202.865498,10458
1659432202.908553,10227
1659432202.947167,10073
1659432202.98578,9998
1659432203.024393,9999
1659432203.064886,10035
1659432203.105379,10064
1659432203.145017,10053
1659432203.184656,10074
1659432203.224294,10048
1659432203.266325,10039
1659432203.308356,10054
1659432203.347311,10113
1659432203.386266,10186
1659432203.425221,10263
1659432203.464518,10336
1659432203.503814,10398
1659432203.543111,10459
1659432203.585142,10517
1659432203.627172,10527
1659432203.665444,10395
1659432203.703716,10229
1659432203.741987,10141
1659432203.78453,10138
1659432203.827073,10134
1659432203.865687,10159
1659432203.9043,10165
1659432203.942914,10153
