LocalTimestamp,PG
1659434667.458376,8489
1659434667.496648,8632
1659434667.53492,9068
1659434667.576952,9222
1659434667.618983,9212
1659434667.66204,9209
1659434667.705096,9241
1659434667.743711,9270
1659434667.782325,9233
1659434667.820939,9265
1659434667.865021,9304
1659434667.909102,9321
1659434667.953184,9360
1659434667.985989,9357
1659434668.018794,9350
1659434668.062876,9356
1659434668.106957,9395
1659434668.151039,9355
1659434668.189995,9255
1659434668.228951,9128
1659434668.267906,8903
1659434668.309938,8411
1659434668.351969,7901
1659434668.390583,7850
1659434668.429198,7821
1659434668.467812,7789
1659434668.508818,7721
1659434668.549824,7716
1659434668.589805,7802
1659434668.629786,7948
1659434668.669767,8112
1659434668.70804,8283
1659434668.746312,8450
1659434668.784585,8583
1659434668.826103,8593
1659434668.867622,8470
1659434668.906236,8549
1659434668.94485,8536
1659434668.983465,8534
1659434669.025496,8546
1659434669.067527,8579
1659434669.1058,8572
1659434669.144072,8481
1659434669.182345,8456
1659434669.223864,8472
1659434669.265382,8531
1659434669.303655,8601
1659434669.341927,8623
1659434669.3802,8607
1659434669.422231,8682
1659434669.464262,8693
1659434669.502877,8702
1659434669.541491,8744
1659434669.580105,8908
1659434669.624528,9045
1659434669.668952,9128
1659434669.713375,9160
1659434669.74618,9246
1659434669.778985,9326
1659434669.824092,9399
1659434669.869199,9474
1659434669.914305,9506
1659434669.956337,9543
1659434669.998368,9562
1659434670.036982,9581
1659434670.075597,9644
1659434670.114211,9704
1659434670.153167,9725
1659434670.192122,9727
1659434670.231078,9750
1659434670.272597,9724
1659434670.314116,9707
1659434670.352388,9694
1659434670.390661,9699
1659434670.428933,9707
1659434670.467889,9724
1659434670.506845,9717
1659434670.545801,9700
1659434670.587832,9715
1659434670.629864,9735
1659434670.66882,9755
1659434670.707775,9771
1659434670.746731,9781
1659434670.78825,9776
1659434670.829769,9807
1659434670.869066,9827
1659434670.908364,9849
1659434670.947662,9858
1659434670.989693,9848
1659434671.031724,9859
1659434671.07068,9867
1659434671.109636,9879
1659434671.148592,9882
1659434671.189598,9879
1659434671.230605,9869
1659434671.26956,9872
1659434671.308516,9902
1659434671.347472,9901
1659434671.391212,9920
1659434671.434952,9906
1659434671.478692,9930
1659434671.521236,9955
1659434671.56378,9967
1659434671.602052,9967
1659434671.640325,9966
1659434671.678597,9971
1659434671.717553,9981
1659434671.756509,10009
1659434671.795465,10002
1659434671.836984,10012
1659434671.878503,10012
1659434671.918142,10007
1659434671.957781,10034
1659434671.997421,10048
1659434672.038427,10053
1659434672.079433,10032
1659434672.118047,10000
1659434672.156661,9984
1659434672.195276,9986
1659434672.23389,10001
1659434672.272504,10002
1659434672.311118,10013
1659434672.352637,10019
1659434672.394156,10024
1659434672.43277,10028
1659434672.471384,10041
1659434672.509998,10039
1659434672.551517,10040
1659434672.593036,10048
1659434672.630966,10053
1659434672.668897,10064
1659434672.706828,10062
1659434672.749372,10039
1659434672.791916,10032
1659434672.836339,10031
1659434672.880763,10059
1659434672.925186,10065
1659434672.957991,10077
1659434672.990796,10065
1659434673.035219,10036
1659434673.079643,10023
1659434673.124066,10014
1659434673.163705,9996
1659434673.203345,9999
1659434673.242984,9979
1659434673.284503,9979
1659434673.326021,9980
1659434673.364977,9970
1659434673.403933,9977
1659434673.442889,9980
1659434673.484921,9974
1659434673.526952,9981
1659434673.565224,9977
1659434673.603497,9988
1659434673.641769,9987
1659434673.680383,9987
1659434673.718997,9990
1659434673.757612,10015
1659434673.799643,10014
1659434673.841675,9991
1659434673.879947,9954
1659434673.918219,9916
1659434673.956492,9911
1659434673.995448,9925
1659434674.034404,9943
1659434674.073359,9958
1659434674.115391,9979
1659434674.157422,10001
1659434674.196036,10026
1659434674.234651,10048
1659434674.273265,10058
1659434674.315296,10066
1659434674.357327,10075
1659434674.399359,10082
1659434674.44139,10099
1659434674.479663,10113
1659434674.517935,10112
1659434674.556208,10115
1659434674.600289,10103
1659434674.644371,10089
1659434674.688452,10066
1659434674.722283,9976
1659434674.756113,9856
1659434674.800536,9808
1659434674.844959,9782
1659434674.889383,9761
1659434674.927655,9786
1659434674.965928,9759
1659434675.0042,9726
1659434675.046232,9658
1659434675.088263,9613
1659434675.126877,9589
1659434675.165491,9505
1659434675.204106,9439
1659434675.246137,9330
1659434675.288168,9248
1659434675.326782,9114
1659434675.365396,8964
1659434675.404011,8883
1659434675.442625,8810
1659434675.481239,8804
1659434675.519853,8776
1659434675.560859,8754
1659434675.601866,8726
1659434675.641163,8748
1659434675.680461,8757
1659434675.719759,8774
1659434675.760765,8833
1659434675.801771,8866
1659434675.840727,8886
1659434675.879683,8884
1659434675.918639,8886
1659434675.959132,8898
1659434675.999626,8930
1659434676.039607,8921
1659434676.079588,8926
1659434676.119569,8932
1659434676.160575,8932
1659434676.201581,8924
1659434676.240196,8891
1659434676.27881,8862
1659434676.317424,8829
1659434676.362189,8764
1659434676.406954,8674
1659434676.451719,8633
1659434676.486062,8618
1659434676.520405,8617
1659434676.564486,8619
1659434676.608568,8642
1659434676.65265,8653
1659434676.694681,8654
1659434676.736712,8671
1659434676.775326,8694
1659434676.813941,8696
1659434676.852555,8709
1659434676.891169,8710
1659434676.929783,8731
1659434676.968397,8727
1659434677.010429,8720
1659434677.05246,8726
1659434677.091416,8714
1659434677.130372,8718
1659434677.169328,8683
1659434677.207258,8651
1659434677.245189,8640
1659434677.28312,8629
1659434677.325664,8633
1659434677.368208,8627
1659434677.407164,8633
1659434677.44612,8645
1659434677.485075,8621
1659434677.526594,8627
1659434677.568113,8640
1659434677.607411,8661
1659434677.646708,8685
1659434677.686006,8683
1659434677.728037,8668
1659434677.770069,8676
1659434677.807999,8682
1659434677.84593,8696
1659434677.883861,8708
