LocalTimestamp,PG
1659520478.871671,9552
1659520478.909902,9571
1659520478.948134,9616
1659520478.986365,9652
1659520479.027839,9682
1659520479.069313,9695
1659520479.108227,9684
1659520479.147141,9694
1659520479.186055,9711
1659520479.224286,9753
1659520479.262517,9809
1659520479.300749,9866
1659520479.342735,9925
1659520479.384721,9971
1659520479.423635,10037
1659520479.462549,10097
1659520479.501463,10166
1659520479.542425,10236
1659520479.583387,10299
1659520479.621618,10374
1659520479.659849,10448
1659520479.698081,10506
1659520479.740579,10567
1659520479.783077,10610
1659520479.821991,10647
1659520479.860905,10692
1659520479.899819,10732
1659520479.944535,10763
1659520479.989252,10807
1659520480.033969,10825
1659520480.067251,10850
1659520480.100533,10862
1659520480.14525,10868
1659520480.189966,10906
1659520480.234683,10927
1659520480.273256,10960
1659520480.311829,10986
1659520480.350401,11021
1659520480.392899,11045
1659520480.435397,11068
1659520480.47397,11074
1659520480.512542,11069
1659520480.551115,11094
1659520480.592077,11117
1659520480.633039,11157
1659520480.671953,11189
1659520480.710867,11207
1659520480.749781,11212
1659520480.789378,11229
1659520480.828974,11241
1659520480.868571,11231
1659520480.909533,11244
1659520480.950495,11235
1659520480.989409,11212
1659520481.028323,11175
1659520481.067237,11131
1659520481.109223,11109
1659520481.151209,11096
1659520481.190464,11104
1659520481.22972,11115
1659520481.268975,11129
1659520481.310449,11178
1659520481.351923,11243
1659520481.390837,11338
1659520481.429751,11426
1659520481.468665,11487
1659520481.512358,11531
1659520481.556051,11578
1659520481.599744,11633
1659520481.633025,11703
1659520481.666307,11777
1659520481.710682,11835
1659520481.755058,11913
1659520481.799434,11948
1659520481.838006,11988
1659520481.876579,12034
1659520481.915151,12066
1659520481.956625,12111
1659520481.9981,12157
1659520482.037355,12186
1659520482.07661,12227
1659520482.115865,12259
1659520482.157851,12295
1659520482.199838,12329
1659520482.238069,12360
1659520482.2763,12396
1659520482.314531,12433
1659520482.354128,12462
1659520482.393725,12492
1659520482.433321,12536
1659520482.474283,12588
1659520482.515245,12647
1659520482.553135,12682
1659520482.591025,12749
1659520482.628915,12811
1659520482.671925,12860
1659520482.714935,12899
1659520482.753508,12932
1659520482.792081,12972
1659520482.830653,13001
1659520482.871103,13021
1659520482.911553,13044
1659520482.950467,13057
1659520482.989381,13065
1659520483.028295,13087
1659520483.070281,13070
1659520483.112267,13067
1659520483.156643,13062
1659520483.201018,13051
1659520483.245394,13051
1659520483.284649,13066
1659520483.323905,13090
1659520483.36316,13131
1659520483.405146,13164
1659520483.447132,13181
1659520483.485363,13180
1659520483.523595,13193
1659520483.561826,13176
1659520483.601081,13179
1659520483.640336,13170
1659520483.679592,13154
1659520483.72209,13145
1659520483.764588,13127
1659520483.802819,13094
1659520483.84105,13089
1659520483.879282,13081
1659520483.918195,13083
1659520483.957109,13107
1659520483.996023,13104
1659520484.037498,13107
1659520484.078972,13104
1659520484.117886,13109
1659520484.1568,13134
1659520484.195714,13145
1659520484.237188,13167
1659520484.278662,13178
1659520484.317917,13187
1659520484.357172,13180
